territoire;total;total_femmes;total_hommes;femmes_moins20;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_moins20;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;100243;92346;7897;570;12744;14243;12020;10308;9355;9757;9801;7379;4308;1861;40;1592;1706;1105;907;701;637;481;364;239;125
Région Flandre;59728;55422;4306;512;9388;8844;6720;5526;5149;5509;5950;4428;2462;934;39;1189;955;515;377;320;283;256;206;116;50
Région Wallonie;33866;31114;2752;52;2818;4419;4450;4039;3565;3584;3293;2560;1578;756;1;332;610;448;407;270;257;153;119;97;58
Région Région de Bruxelles-capitale;6649;5810;839;6;538;980;850;743;641;664;558;391;268;171;0;71;141;142;123;111;97;72;39;26;17
Prov Brabant flamand;8629;7944;685;56;1087;1063;862;826;851;944;936;739;392;188;2;143;138;83;66;60;60;45;51;25;12
Prov Flandre occidentale;12825;11988;837;166;2545;2075;1367;1102;1076;992;1133;857;483;192;14;297;224;93;60;43;46;33;18;5;4
Prov Flandre orientale;14530;13527;1003;124;2136;2058;1681;1339;1299;1379;1543;1105;653;210;13;257;188;132;94;90;73;72;51;22;11
Prov Anvers;15821;14655;1166;116;2254;2418;1933;1514;1310;1435;1563;1220;638;254;8;269;269;156;102;91;77;81;59;40;14
Prov Limbourg;7923;7308;615;50;1366;1230;877;745;613;759;775;507;296;90;2;223;136;51;55;36;27;25;27;24;9
Prov Brabant wallon;2188;2004;184;3;194;234;210;267;245;233;215;196;139;68;0;30;27;26;22;17;26;17;7;9;3
Prov Hainaut;14076;12902;1174;18;1117;1757;1839;1714;1482;1481;1364;1123;702;305;1;146;241;202;184;125;119;56;42;37;21
Prov Liège;10889;10003;886;11;875;1549;1543;1308;1151;1150;1048;720;414;234;0;87;216;147;133;81;71;46;46;37;22
Prov Namur;4618;4225;393;7;435;600;595;513;481;456;445;361;228;104;0;51;99;57;52;37;35;26;18;10;8
Prov Luxembourg;2095;1980;115;13;197;279;263;237;206;264;221;160;95;45;0;18;27;16;16;10;6;8;6;4;4
Prov Région de Bruxelles-capitale;6649;5810;839;6;538;980;850;743;641;664;558;391;268;171;0;71;141;142;123;111;97;72;39;26;17
