Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;29679;17517;12162;979;1981;1966;2605;2146;2026;2107;1627;1302;778;404;1040;940;1630;1320;1250;1487;1506;1336;1249
Région Flandre;16479;9989;6490;420;998;1236;1693;1349;1136;1211;911;698;337;151;399;510;904;694;646;838;861;793;694
Région Wallonie;10432;5906;4526;440;650;582;788;680;750;733;546;457;280;203;376;292;609;549;519;549;526;442;461
Région Région de Bruxelles-capitale;2768;1622;1146;119;333;148;124;117;140;163;170;147;161;50;265;138;117;77;85;100;119;101;94
Prov Brabant flamand;3508;2213;1295;123;229;266;329;294;269;260;222;151;70;42;106;104;192;128;134;149;178;128;134
Prov Flandre occidentale;3207;1788;1419;80;131;202;342;236;206;222;161;138;70;31;64;103;189;152;138;211;173;188;170
Prov Flandre orientale;3845;2435;1410;92;245;326;445;310;269;277;209;166;96;21;65;103;202;144;166;192;194;179;144
Prov Anvers;3955;2417;1538;87;265;305;370;329;285;335;209;158;74;33;110;122;196;168;140;201;207;181;180
Prov Limbourg;1964;1136;828;38;128;137;207;180;107;117;110;85;27;24;54;78;125;102;68;85;109;117;66
Prov Brabant wallon;1815;1169;646;86;111;104;155;109;139;176;123;97;69;35;66;35;97;78;67;89;69;52;58
Prov Hainaut;3203;1614;1589;90;143;152;214;199;210;218;138;152;98;52;113;83;188;197;164;198;186;197;211
Prov Liège;3049;1763;1286;142;210;180;230;201;232;202;180;122;64;51;105;100;178;166;166;153;161;110;96
Prov Namur;1461;814;647;55;94;81;101;106;113;92;71;63;38;33;45;32;106;71;82;71;83;55;69
Prov Luxembourg;904;546;358;67;92;65;88;65;56;45;34;23;11;32;47;42;40;37;40;38;27;28;27
Prov Région de Bruxelles-capitale;2768;1622;1146;119;333;148;124;117;140;163;170;147;161;50;265;138;117;77;85;100;119;101;94
