Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;27378;15984;11394;696;1847;2456;2303;2053;2085;1807;1466;891;380;264;828;1430;1452;1209;1395;1498;1530;1060;728
Région Flandre;15438;9234;6204;300;1130;1500;1497;1208;1188;1013;824;412;162;106;430;765;773;627;766;832;904;579;422
Région Wallonie;9373;5230;4143;256;464;799;694;715;738;623;475;345;121;95;215;521;579;496;539;561;486;406;245
Région Région de Bruxelles-capitale;2567;1520;1047;140;253;157;112;130;159;171;167;134;97;63;183;144;100;86;90;105;140;75;61
Prov Brabant flamand;3211;2017;1194;67;240;308;305;276;270;236;185;94;36;29;83;163;147;130;130;162;170;102;78
Prov Flandre occidentale;3017;1657;1360;48;182;282;280;213;202;189;145;79;37;11;84;159;159;139;187;181;188;146;106
Prov Flandre orientale;3645;2260;1385;67;299;391;365;283;285;201;217;109;43;14;97;170;162;146;188;188;195;147;78
Prov Anvers;3729;2250;1479;76;277;353;351;307;322;267;169;92;36;39;114;162;180;139;187;199;212;127;120
Prov Limbourg;1836;1050;786;42;132;166;196;129;109;120;108;38;10;13;52;111;125;73;74;102;139;57;40
Prov Brabant wallon;1600;1030;570;36;75;155;132;101;172;150;96;82;31;15;27;74;87;62;86;80;63;43;33
Prov Hainaut;3001;1492;1509;56;125;204;203;231;202;165;146;118;42;27;61;157;199;174;186;198;205;190;112
Prov Liège;2736;1557;1179;99;136;255;203;211;206;200;139;82;26;24;73;168;162;152;156;166;137;93;48
Prov Namur;1299;712;587;30;68;98;92;119;94;82;65;47;17;12;28;79;90;70;71;85;55;58;39
Prov Luxembourg;737;439;298;35;60;87;64;53;64;26;29;16;5;17;26;43;41;38;40;32;26;22;13
Prov Région de Bruxelles-capitale;2567;1520;1047;140;253;157;112;130;159;171;167;134;97;63;183;144;100;86;90;105;140;75;61
