gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;1138;748;390;3;660;50;16;11;5;2;1;0;0;4;318;43;11;2;3;5;3;1;0
Gewest Vlaanderen;630;428;202;2;383;22;5;10;5;1;0;0;0;4;170;18;5;1;2;2;0;0;0
Gewest Wallonië;334;214;120;1;195;11;5;1;0;1;0;0;0;0;99;12;4;1;1;1;1;1;0
Gewest Brussels hoofdstedelijk gewest;174;106;68;0;82;17;6;0;0;0;1;0;0;0;49;13;2;0;0;2;2;0;0
Prov Vlaams Brabant;126;85;41;0;73;8;1;2;1;0;0;0;0;1;30;8;1;1;0;0;0;0;0
Prov West-Vlaanderen;97;58;39;1;56;1;0;0;0;0;0;0;0;2;34;1;1;0;0;1;0;0;0
Prov Oost-Vlaanderen;177;120;57;0;107;8;2;1;2;0;0;0;0;0;52;4;0;0;1;0;0;0;0
Prov Antwerpen;150;110;40;0;98;3;1;6;1;1;0;0;0;1;33;5;1;0;0;0;0;0;0
Prov Limburg;80;55;25;1;49;2;1;1;1;0;0;0;0;0;21;0;2;0;1;1;0;0;0
Prov Waals Brabant;41;29;12;0;26;1;0;1;0;1;0;0;0;0;11;1;0;0;0;0;0;0;0
Prov Henegouwen;108;67;41;1;61;3;2;0;0;0;0;0;0;0;36;3;2;0;0;0;0;0;0
Prov Luik;109;72;37;0;64;6;2;0;0;0;0;0;0;0;27;6;1;1;1;1;0;0;0
Prov Namen;49;31;18;0;29;1;1;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0
Prov Luxemburg;27;15;12;0;15;0;0;0;0;0;0;0;0;0;7;2;1;0;0;0;1;1;0
Prov Brussels hoofdstedelijk gewest;174;106;68;0;82;17;6;0;0;0;1;0;0;0;49;13;2;0;0;2;2;0;0
