territoire;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_55-59
Belgique;1892;1269;623;181;973;81;17;9;6;1;1;82;467;49;11;7;5;2
Région flamande;840;553;287;89;415;29;7;7;5;1;0;35;226;18;4;2;1;1
Région wallonne;778;524;254;81;405;31;6;0;0;0;1;43;181;20;6;1;2;1
Région de Bruxelles Capitale;274;192;82;11;153;21;4;2;1;0;0;4;60;11;1;4;2;0
Brabant flamand;183;116;67;16;87;7;2;1;3;0;0;5;54;6;1;0;1;0
Flandre occidentale;135;81;54;14;64;0;2;0;1;0;0;6;42;4;1;0;0;1
Flandre orientale;214;148;66;31;106;11;0;0;0;0;0;6;52;4;2;2;0;0
Anvers;202;148;54;21;109;8;3;6;0;1;0;14;36;4;0;0;0;0
Limbourg;106;60;46;7;49;3;0;0;1;0;0;4;42;0;0;0;0;0
Brabant Wallon;103;77;26;11;61;5;0;0;0;0;0;4;20;1;0;0;1;0
Hainaut;255;176;79;32;131;11;2;0;0;0;0;20;53;3;2;1;0;0
Liège;253;163;90;21;126;12;3;0;0;0;1;10;66;10;3;0;1;0
Namur;110;72;38;11;60;0;1;0;0;0;0;6;27;5;0;0;0;0
Luxembourg;57;36;21;6;27;3;0;0;0;0;0;3;15;1;1;0;0;1
Région de Bruxelles Capitale;274;192;82;11;153;21;4;2;1;0;0;4;60;11;1;4;2;0
