Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;9004;8908;96;873;1384;1199;892;1024;1115;966;531;317;607;1;4;7;12;18;18;25;9;2;0
Région Flandre;6084;6020;64;657;935;907;591;675;761;663;341;211;279;0;3;2;7;14;16;17;4;1;0
Région Wallonie;2289;2263;26;155;294;227;250;307;279;254;162;86;249;1;0;3;4;3;2;8;4;1;0
Région Région de Bruxelles-capitale;631;625;6;61;155;65;51;42;75;49;28;20;79;0;1;2;1;1;0;0;1;0;0
Prov Brabant flamand;1139;1124;15;130;183;123;95;120;162;131;57;34;89;0;1;0;2;1;4;5;2;0;0
Prov Flandre occidentale;1211;1200;11;154;184;157;124;133;144;139;86;44;35;0;0;0;0;3;2;5;1;0;0
Prov Flandre orientale;1181;1164;17;150;181;247;111;157;132;107;35;21;23;0;0;1;2;6;4;3;0;1;0
Prov Anvers;1683;1669;14;140;250;260;174;176;214;190;111;76;78;0;2;1;3;1;4;2;1;0;0
Prov Limbourg;870;863;7;83;137;120;87;89;109;96;52;36;54;0;0;0;0;3;2;2;0;0;0
Prov Brabant wallon;296;292;4;13;35;17;31;39;41;43;22;15;36;0;0;0;0;0;1;2;1;0;0
Prov Hainaut;671;662;9;48;72;76;87;112;85;71;67;28;16;0;0;1;1;2;0;3;2;0;0
Prov Liège;750;740;10;55;126;78;77;79;74;69;48;16;118;0;0;2;3;1;1;2;0;1;0
Prov Namur;383;382;1;24;39;38;37;52;45;46;16;23;62;0;0;0;0;0;0;1;0;0;0
Prov Luxembourg;189;187;2;15;22;18;18;25;34;25;9;4;17;1;0;0;0;0;0;0;1;0;0
Prov Région de Bruxelles-capitale;631;625;6;61;155;65;51;42;75;49;28;20;79;0;1;2;1;1;0;0;1;0;0
