Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;11032;8479;2553;631;1287;1097;1004;747;795;1038;919;785;176;242;497;374;269;215;179;206;271;248;52
Gewest Vlaanderen;6084;4933;1151;425;716;547;569;451;510;654;540;432;89;148;235;135;113;74;66;83;134;136;27
Gewest Wallonië;4169;2985;1184;164;474;455;365;255;242;335;332;298;65;83;228;198;121;117;91;107;121;98;20
Gewest Brussels hoofdstedelijk gewest;779;561;218;42;97;95;70;41;43;49;47;55;22;11;34;41;35;24;22;16;16;14;5
Prov Vlaams Brabant;1398;1075;323;70;133;102;128;96;120;142;148;112;24;27;55;30;28;25;21;29;51;49;8
Prov West-Vlaanderen;1025;829;196;88;142;94;88;63;84;102;84;74;10;30;47;32;7;12;17;17;16;14;4
Prov Oost-Vlaanderen;1342;1118;224;96;134;139;127;112;120;153;103;106;28;29;37;30;28;14;10;13;22;35;6
Prov Antwerpen;1574;1291;283;111;195;126;151;122;133;183;150;100;20;30;53;30;43;19;15;17;36;32;8
Prov Limburg;745;620;125;60;112;86;75;58;53;74;55;40;7;32;43;13;7;4;3;7;9;6;1
Prov Waals Brabant;486;354;132;11;48;48;40;24;47;41;51;37;7;0;27;29;10;11;15;12;10;15;3
Prov Henegouwen;1600;1132;468;70;174;180;142;100;80;130;121;114;21;47;90;86;44;40;31;43;42;35;10
Prov Luik;1241;913;328;64;156;141;111;72;62;103;87;91;26;23;67;52;42;33;18;20;41;27;5
Prov Namen;660;450;210;16;72;70;61;45;39;46;48;44;9;9;34;27;23;31;19;27;22;16;2
Prov Luxemburg;182;136;46;3;24;16;11;14;14;15;25;12;2;4;10;4;2;2;8;5;6;5;0
Prov Brussels hoofdstedelijk gewest;779;561;218;42;97;95;70;41;43;49;47;55;22;11;34;41;35;24;22;16;16;14;5
