gebied;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;125997;115329;10668;12962;12929;13705;13247;12713;10979;10705;10467;8826;8796;1790;1661;1567;1241;1096;906;823;704;425;455
Vlaams Gewest;77915;71763;6152;9540;8563;8500;7852;7386;6364;6467;6536;5526;5029;1324;1041;917;636;515;428;418;390;246;237
Waals Gewest;41481;37843;3638;2922;3711;4544;4752;4685;4004;3661;3405;2897;3262;379;505;560;482;490;379;310;233;125;175
Brussels Hoofdstedelijk Gewest;6601;5723;878;500;655;661;643;642;611;577;526;403;505;87;115;90;123;91;99;95;81;54;43
Vlaams Brabant;11326;10367;959;1271;985;1110;1064;1061;1010;1029;1097;891;849;174;140;116;99;95;89;78;61;49;58
West-Vlaanderen;15650;14503;1147;2027;1971;1850;1524;1389;1218;1216;1185;1077;1046;320;215;189;113;85;62;61;55;26;21
Oost-Vlaanderen;19176;17719;1457;2392;2003;2065;1988;1845;1573;1547;1658;1375;1273;316;238;203;160;124;109;104;100;56;47
Antwerpen;20841;19222;1619;2518;2333;2236;2218;2030;1665;1739;1646;1479;1358;307;273;247;169;143;101;116;112;77;74
Limburg;10922;9952;970;1332;1271;1239;1058;1061;898;936;950;704;503;207;175;162;95;68;67;59;62;38;37
Waals Brabant;2488;2259;229;183;167;217;228;266;248;247;232;193;278;24;25;26;33;25;30;24;22;9;11
Henegouwen;17550;15981;1569;1131;1626;1967;1975;1991;1735;1539;1395;1248;1374;166;214;241;211;217;178;133;103;45;61
Luik;13161;12001;1160;907;1185;1445;1632;1566;1266;1160;1090;853;897;106;159;181;150;165;108;106;72;45;68
Namen;5603;5109;494;466;506;625;603;557;513;493;441;411;494;54;84;80;59;64;45;33;29;21;25
Luxemburg;2679;2493;186;235;227;290;314;305;242;222;247;192;219;29;23;32;29;19;18;14;7;5;10
Brussels Hoofdstedelijk Gewest;6601;5723;878;500;655;661;643;642;611;577;526;403;505;87;115;90;123;91;99;95;81;54;43
