Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;810;572;238;11;499;40;10;7;2;2;1;0;0;3;186;28;5;3;4;6;3;0;0
Gewest Vlaanderen;490;362;128;4;330;12;7;7;1;1;0;0;0;2;109;10;2;0;2;3;0;0;0
Gewest Wallonië;203;141;62;5;119;15;0;0;1;0;1;0;0;0;51;7;0;2;0;0;2;0;0
Gewest Brussels hoofdstedelijk gewest;117;69;48;2;50;13;3;0;0;1;0;0;0;1;26;11;3;1;2;3;1;0;0
Prov Vlaams Brabant;79;58;21;0;50;4;2;2;0;0;0;0;0;0;17;2;0;0;2;0;0;0;0
Prov West-Vlaanderen;81;56;25;2;54;0;0;0;0;0;0;0;0;1;22;1;1;0;0;0;0;0;0
Prov Oost-Vlaanderen;126;100;26;1;90;3;3;3;0;0;0;0;0;0;23;2;0;0;0;1;0;0;0
Prov Antwerpen;134;97;37;1;89;3;2;0;1;1;0;0;0;1;31;3;0;0;0;2;0;0;0
Prov Limburg;70;51;19;0;47;2;0;2;0;0;0;0;0;0;16;2;1;0;0;0;0;0;0
Prov Waals Brabant;35;24;11;0;20;4;0;0;0;0;0;0;0;0;10;0;0;1;0;0;0;0;0
Prov Henegouwen;62;44;18;0;38;5;0;0;1;0;0;0;0;0;15;3;0;0;0;0;0;0;0
Prov Luik;66;44;22;2;36;5;0;0;0;0;1;0;0;0;16;4;0;1;0;0;1;0;0
Prov Namen;26;19;7;3;15;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0
Prov Luxemburg;14;10;4;0;10;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0
Prov Brussels hoofdstedelijk gewest;117;69;48;2;50;13;3;0;0;1;0;0;0;1;26;11;3;1;2;3;1;0;0
