Territoire;Total;Total_Femmes;Total_Hommes;Femmes_moins20;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_moins20;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;11355;10043;1312;158;1117;1551;1207;1113;934;1131;1019;843;666;304;37;269;305;169;104;105;84;70;70;51;48
Région Flandre;5685;4890;795;95;627;753;541;500;418;562;521;436;306;131;25;182;184;87;63;52;46;47;41;36;32
Région Wallonie;4781;4377;404;52;370;606;547;508;468;517;446;373;336;154;9;66;94;68;30;40;29;18;24;13;13
Région Région de Bruxelles-capitale;889;776;113;11;120;192;119;105;48;52;52;34;24;19;3;21;27;14;11;13;9;5;5;2;3
Prov Brabant flamand;872;719;153;19;95;90;92;80;54;88;76;68;35;22;4;34;29;17;10;14;8;12;15;3;7
Prov Flandre occidentale;1018;895;123;8;87;117;82;95;72;121;112;99;77;25;0;20;27;14;14;11;11;4;7;13;2
Prov Flandre orientale;1079;915;164;14;136;151;79;87;83;100;103;77;60;25;6;43;35;11;18;7;10;11;9;5;9
Prov Anvers;1710;1470;240;41;211;224;162;135;112;152;158;132;101;42;12;75;59;28;12;11;12;13;7;6;5
Prov Limbourg;1006;891;115;13;98;171;126;103;97;101;72;60;33;17;3;10;34;17;9;9;5;7;3;9;9
Prov Brabant wallon;240;216;24;1;12;15;14;16;21;33;33;29;27;15;0;2;1;1;3;5;2;1;3;4;2
Prov Hainaut;1880;1717;163;25;150;244;199;167;173;219;182;146;148;64;6;35;32;26;15;15;10;7;10;2;5
Prov Liège;1567;1452;115;13;104;195;202;189;162;160;153;128;98;48;1;13;24;26;6;11;11;6;7;6;4
Prov Namur;776;699;77;10;76;116;91;96;80;76;53;43;38;20;0;15;29;9;4;7;6;4;2;0;1
Prov Luxembourg;318;293;25;3;28;36;41;40;32;29;25;27;25;7;2;1;8;6;2;2;0;0;2;1;1
Prov Région de Bruxelles-capitale;889;776;113;11;120;192;119;105;48;52;52;34;24;19;3;21;27;14;11;13;9;5;5;2;3
