Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;32121;19050;13071;1243;2582;1868;2436;2305;2048;2086;1799;1444;1239;594;1463;911;1423;1460;1205;1387;1478;1481;1669
Gewest Vlaanderen;17745;10841;6904;636;1246;1169;1494;1510;1205;1191;1012;815;563;251;570;456;779;788;627;765;832;883;953
Gewest Wallonië;11345;6452;4893;496;936;500;810;688;723;741;622;477;459;270;588;262;529;595;495;536;544;473;601
Gewest Brussels hoofdstedelijk gewest;3031;1757;1274;111;400;199;132;107;120;154;165;152;217;73;305;193;115;77;83;86;102;125;115
Prov Vlaams Brabant;3829;2406;1423;151;316;253;298;317;269;267;231;177;127;60;166;102;167;159;132;136;161;163;177
Prov West-Vlaanderen;3411;1939;1472;119;192;180;283;287;219;201;192;150;116;44;70;90;167;162;141;185;186;185;242
Prov Oost-Vlaanderen;4087;2612;1475;138;278;302;397;364;282;286;205;214;146;45;95;90;167;163;146;189;184;191;205
Prov Antwerpen;4258;2622;1636;137;309;293;349;341;308;327;266;166;126;54;154;119;165;181;137;182;201;209;234
Prov Limburg;2160;1262;898;91;151;141;167;201;127;110;118;108;48;48;85;55;113;123;71;73;100;135;95
Prov Waals Brabant;2006;1287;719;89;184;82;160;130;106;173;151;100;112;43;104;45;77;90;65;86;76;64;69
Prov Henegouwen;3466;1769;1697;124;213;132;205;199;224;206;165;145;156;73;186;70;164;206;165;182;194;195;262
Prov Luik;3302;1905;1397;141;301;148;250;204;215;204;196;137;109;83;162;81;168;164;153;158;157;135;136
Prov Namen;1596;896;700;85;113;74;103;90;125;94;84;65;63;44;69;33;76;93;73;70;86;55;101
Prov Luxemburg;975;595;380;57;125;64;92;65;53;64;26;30;19;27;67;33;44;42;39;40;31;24;33
Prov Brussels hoofdstedelijk gewest;3031;1757;1274;111;400;199;132;107;120;154;165;152;217;73;305;193;115;77;83;86;102;125;115
