territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;9996;9024;972;1178;2009;1631;1393;784;390;700;574;321;44;123;198;115;132;89;42;65;90;85;33
Région Flandre;7350;6652;698;947;1508;1218;906;580;297;511;451;218;16;95;140;85;80;53;28;50;74;69;24
Région Wallonie;2126;1914;212;167;371;352;423;172;76;153;99;78;23;17;42;22;41;29;12;14;14;14;7
Région Région de Bruxelles-capitale;520;458;62;64;130;61;64;32;17;36;24;25;5;11;16;8;11;7;2;1;2;2;2
Prov Brabant flamand;804;729;75;89;150;128;108;74;33;63;58;25;1;4;21;11;10;6;2;8;5;7;1
Prov Flandre occidentale;1832;1626;206;220;371;288;230;151;59;134;114;52;7;21;40;28;19;14;10;14;23;25;12
Prov Flandre orientale;1967;1761;206;255;403;306;222;139;85;140;122;86;3;23;35;24;23;18;10;17;24;23;9
Prov Anvers;1637;1526;111;241;328;311;197;124;63;108;111;40;3;21;18;13;16;6;2;10;13;11;1
Prov Limbourg;1110;1010;100;142;256;185;149;92;57;66;46;15;2;26;26;9;12;9;4;1;9;3;1
Prov Brabant wallon;287;262;25;25;41;42;55;20;8;22;28;16;5;2;3;1;7;3;1;1;4;1;2
Prov Hainaut;727;643;84;60;138;106;149;60;27;53;26;22;2;6;23;6;14;11;7;6;4;4;3
Prov Liège;655;580;75;54;114;118;126;50;25;40;25;19;9;3;15;13;14;8;3;5;5;7;2
Prov Namur;311;288;23;8;47;56;68;28;13;28;17;17;6;4;1;2;6;4;1;2;1;2;0
Prov Luxembourg;146;141;5;20;31;30;25;14;3;10;3;4;1;2;0;0;0;3;0;0;0;0;0
Prov Région de Bruxelles-capitale;520;458;62;64;130;61;64;32;17;36;24;25;5;11;16;8;11;7;2;1;2;2;2
