territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;3205;3023;182;458;677;431;314;297;287;249;205;92;13;24;24;34;21;16;19;18;15;8;3
Région Flandre;1841;1747;94;272;360;216;160;167;191;168;152;55;6;16;11;19;8;8;5;9;10;6;2
Région Wallonie;1120;1048;72;152;242;179;131;115;81;66;42;35;5;8;8;11;13;7;11;7;4;2;1
Région de Bruxelles-capitale;244;228;16;34;75;36;23;15;15;15;11;2;2;0;5;4;0;1;3;2;1;0;0
Prov Brabant flamand;354;338;16;44;70;48;30;34;34;33;34;9;2;2;0;3;1;2;2;2;3;1;0
Prov Flandre occidentale;366;332;34;70;62;46;22;30;29;28;35;9;1;4;6;7;3;1;2;4;2;4;1
Prov Flandre orientale;402;386;16;59;74;49;35;48;40;36;31;13;1;4;1;4;1;4;0;1;1;0;0
Prov Anvers;490;469;21;63;119;54;48;34;58;47;32;12;2;5;2;3;2;1;1;2;4;0;1
Prov Limbourg;229;222;7;36;35;19;25;21;30;24;20;12;0;1;2;2;1;0;0;0;0;1;0
Prov Brabant wallon;166;159;7;19;27;32;20;14;17;11;8;8;3;1;1;0;1;1;2;0;1;0;0
Prov Hainaut;390;370;20;56;82;69;51;41;30;19;15;7;0;2;2;2;6;0;3;1;2;1;1
Prov Liège;372;341;31;45;84;50;35;42;23;30;18;13;1;1;3;7;6;5;5;3;1;0;0
Prov Namur;120;116;4;21;29;16;17;15;7;6;0;5;0;1;1;1;0;1;0;0;0;0;0
Prov Luxembourg;72;62;10;11;20;12;8;3;4;0;1;2;1;3;1;1;0;0;1;3;0;1;0
Prov Région de Bruxelles-capitale;244;228;16;34;75;36;23;15;15;15;11;2;2;0;5;4;0;1;3;2;1;0;0
