gebied;special;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;ALLE VROEDVROUWEN;11401;11295;106;925;2185;1532;1293;940;1031;1117;974;531;767;4;4;5;8;12;20;18;25;9;1
Gewest Vlaanderen;ALLE VROEDVROUWEN;7723;7656;67;704;1408;1034;978;624;687;763;674;343;441;2;1;4;2;7;15;15;17;4;0
Gewest Wallonië;ALLE VROEDVROUWEN;2843;2813;30;171;507;348;259;268;306;284;255;158;257;1;2;0;4;4;3;3;8;4;1
Gewest Brussels hoofdstedelijk gewest;ALLE VROEDVROUWEN;835;826;9;50;270;150;56;48;38;70;45;30;69;1;1;1;2;1;2;0;0;1;0
Prov Vlaams Brabant;ALLE VROEDVROUWEN;1465;1447;18;111;285;211;147;114;126;166;128;57;102;0;1;1;0;3;2;4;5;2;0
Prov West-Vlaanderen;ALLE VROEDVROUWEN;1538;1527;11;179;280;189;162;129;140;144;141;84;79;1;0;0;0;0;3;1;5;1;0
Prov Oost-Vlaanderen;ALLE VROEDVROUWEN;1565;1548;17;145;332;212;263;115;157;133;114;39;38;0;0;1;1;2;6;4;3;0;0
Prov Antwerpen;ALLE VROEDVROUWEN;2104;2090;14;176;342;281;276;176;176;213;193;111;146;1;0;2;1;2;1;4;2;1;0
Prov Limburg;ALLE VROEDVROUWEN;1051;1044;7;93;169;141;130;90;88;107;98;52;76;0;0;0;0;0;3;2;2;0;0
Prov Waals Brabant;ALLE VROEDVROUWEN;397;393;4;22;64;52;29;31;41;45;44;22;43;0;0;0;0;0;0;1;2;1;0
Prov Henegouwen;ALLE VROEDVROUWEN;839;829;10;49;146;87;86;90;110;85;73;65;38;0;0;0;1;1;2;1;3;2;0
Prov Luik;ALLE VROEDVROUWEN;876;864;12;46;157;139;79;87;77;75;67;47;90;1;1;0;2;3;1;1;2;0;1
Prov Namen;ALLE VROEDVROUWEN;501;499;2;32;106;50;43;38;53;44;48;15;70;0;0;0;1;0;0;0;1;0;0
Prov Luxemburg;ALLE VROEDVROUWEN;230;228;2;22;34;20;22;22;25;35;23;9;16;0;1;0;0;0;0;0;0;1;0
Prov Brussels hoofdstedelijk gewest;ALLE VROEDVROUWEN;835;826;9;50;270;150;56;48;38;70;45;30;69;1;1;1;2;1;2;0;0;1;0
België;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;10715;10614;101;764;1991;1446;1205;897;993;1073;952;526;767;2;4;5;8;11;20;18;24;8;1
België;VOORSCHRIFT GENEESMIDDELEN;686;681;5;161;194;86;88;43;38;44;22;5;0;2;0;0;0;1;0;0;1;1;0
Gewest Vlaanderen;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;7372;7308;64;627;1313;991;922;597;674;739;661;343;441;0;1;4;2;6;15;15;17;4;0
Gewest Vlaanderen;VOORSCHRIFT GENEESMIDDELEN;351;348;3;77;95;43;56;27;13;24;13;0;0;2;0;0;0;1;0;0;0;0;0
Gewest Wallonië;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;2591;2563;28;99;444;320;237;255;283;265;247;156;257;1;2;0;4;4;3;3;7;3;1
Gewest Wallonië;VOORSCHRIFT GENEESMIDDELEN;252;250;2;72;63;28;22;13;23;19;8;2;0;0;0;0;0;0;0;0;1;1;0
Gewest Brussels hoofdstedelijk gewest;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;752;743;9;38;234;135;46;45;36;69;44;27;69;1;1;1;2;1;2;0;0;1;0
Gewest Brussels hoofdstedelijk gewest;VOORSCHRIFT GENEESMIDDELEN;83;83;0;12;36;15;10;3;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0
Prov Vlaams Brabant;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;1382;1364;18;98;263;200;135;104;123;159;123;57;102;0;1;1;0;3;2;4;5;2;0
Prov Vlaams Brabant;VOORSCHRIFT GENEESMIDDELEN;83;83;0;13;22;11;12;10;3;7;5;0;0;0;0;0;0;0;0;0;0;0;0
Prov West-Vlaanderen;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;1481;1471;10;159;267;182;157;124;138;142;139;84;79;0;0;0;0;0;3;1;5;1;0
Prov West-Vlaanderen;VOORSCHRIFT GENEESMIDDELEN;57;56;1;20;13;7;5;5;2;2;2;0;0;1;0;0;0;0;0;0;0;0;0
Prov Oost-Vlaanderen;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;1477;1460;17;128;307;203;245;113;151;125;111;39;38;0;0;1;1;2;6;4;3;0;0
Prov Oost-Vlaanderen;VOORSCHRIFT GENEESMIDDELEN;88;88;0;17;25;9;18;2;6;8;3;0;0;0;0;0;0;0;0;0;0;0;0
Prov Antwerpen;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;2022;2010;12;161;322;266;263;168;174;208;191;111;146;0;0;2;1;1;1;4;2;1;0
Prov Antwerpen;VOORSCHRIFT GENEESMIDDELEN;82;80;2;15;20;15;13;8;2;5;2;0;0;1;0;0;0;1;0;0;0;0;0
Prov Limburg;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;1010;1003;7;81;154;140;122;88;88;105;97;52;76;0;0;0;0;0;3;2;2;0;0
Prov Limburg;VOORSCHRIFT GENEESMIDDELEN;41;41;0;12;15;1;8;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
