gebied;special;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
Prov Waals Brabant;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;364;360;4;15;52;49;27;28;37;45;42;22;43;0;0;0;0;0;0;1;2;1;0
Prov Waals Brabant;VOORSCHRIFT GENEESMIDDELEN;33;33;0;7;12;3;2;3;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Prov Henegouwen;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;747;739;8;29;123;74;79;86;101;74;70;65;38;0;0;0;1;1;2;1;2;1;0
Prov Henegouwen;VOORSCHRIFT GENEESMIDDELEN;92;90;2;20;23;13;7;4;9;11;3;0;0;0;0;0;0;0;0;0;1;1;0
Prov Luik;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;840;828;12;34;154;136;75;84;72;71;67;45;90;1;1;0;2;3;1;1;2;0;1
Prov Luik;VOORSCHRIFT GENEESMIDDELEN;36;36;0;12;3;3;4;3;5;4;0;2;0;0;0;0;0;0;0;0;0;0;0
Prov Namen;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;445;443;2;12;89;45;36;36;51;44;45;15;70;0;0;0;1;0;0;0;1;0;0
Prov Namen;VOORSCHRIFT GENEESMIDDELEN;56;56;0;20;17;5;7;2;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxemburg;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;195;193;2;9;26;16;20;21;22;31;23;9;16;0;1;0;0;0;0;0;0;1;0
Prov Luxemburg;VOORSCHRIFT GENEESMIDDELEN;35;35;0;13;8;4;2;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;GEEN BIJZONDERE BEROEPSBEKWAAMHEID;752;743;9;38;234;135;46;45;36;69;44;27;69;1;1;1;2;1;2;0;0;1;0
Prov Brussels hoofdstedelijk gewest;VOORSCHRIFT GENEESMIDDELEN;83;83;0;12;36;15;10;3;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0
