gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;1143;1003;140;198;376;148;84;60;49;33;32;17;6;12;42;15;12;14;11;10;11;5;8
Gewest Vlaanderen;963;888;75;184;350;135;78;51;35;24;16;13;2;7;27;10;7;6;5;5;3;3;2
Gewest Wallonië;126;79;47;10;12;5;4;8;11;7;15;4;3;4;9;4;2;4;5;4;8;2;5
Gewest Brussels hoofdstedelijk gewest;54;36;18;4;14;8;2;1;3;2;1;0;1;1;6;1;3;4;1;1;0;0;1
Prov Vlaams Brabant;140;128;12;37;37;21;14;6;5;5;2;1;0;0;3;1;1;2;1;2;1;0;1
Prov West-Vlaanderen;229;207;22;49;94;29;18;7;3;4;3;0;0;3;10;1;2;3;0;1;0;1;1
Prov Oost-Vlaanderen;257;232;25;38;108;29;20;14;11;7;2;3;0;2;9;7;3;1;2;0;1;0;0
Prov Antwerpen;254;240;14;46;86;38;21;19;9;7;8;6;0;2;5;1;1;0;2;1;0;2;0
Prov Limburg;83;81;2;14;25;18;5;5;7;1;1;3;2;0;0;0;0;0;0;1;1;0;0
Prov Waals Brabant;35;19;16;2;4;1;1;3;2;4;1;0;1;1;3;3;0;0;2;0;5;1;1
Prov Henegouwen;41;30;11;4;5;2;1;2;3;2;7;2;2;2;1;0;0;2;1;1;0;1;3
Prov Luik;19;13;6;4;1;2;0;2;3;1;0;0;0;0;2;0;1;1;1;0;0;0;1
Prov Namen;27;15;12;0;2;0;1;1;2;0;7;2;0;1;3;1;0;1;1;2;3;0;0
Prov Luxemburg;4;2;2;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Prov Brussels hoofdstedelijk gewest;54;36;18;4;14;8;2;1;3;2;1;0;1;1;6;1;3;4;1;1;0;0;1
