gebied;totaal;geslacht_vrouw;geslacht_man;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;16722;7091;9631;726;1225;711;665;872;710;698;821;663;311;447;320;353;485;592;1045;1791;4287
Vlaams Gewest;9467;3992;5475;464;761;401;401;528;418;406;363;250;209;271;185;199;274;332;609;1034;2362
Waals Gewest;5599;2310;3289;181;347;235;196;268;234;218;330;301;80;111;102;121;168;203;348;600;1556
Brussels Hoofdstedelijk Gewest;1656;789;867;81;117;75;68;76;58;74;128;112;22;65;33;33;43;57;88;157;369
Vlaams Brabant;1926;889;1037;86;144;94;81;108;96;109;102;69;36;45;45;46;44;71;124;196;430
West-Vlaanderen;1711;573;1138;79;129;60;59;79;47;48;45;27;51;45;33;38;55;65;109;198;544
Oost-Vlaanderen;2159;909;1250;122;194;104;98;96;85;89;67;54;46;61;36;48;63;70;161;220;545
Antwerpen;2467;1104;1363;129;193;95;115;169;126;110;97;70;45;75;41;49;64;91;135;283;580
Limburg;1204;517;687;48;101;48;48;76;64;50;52;30;31;45;30;18;48;35;80;137;263
Waals Brabant;827;406;421;24;60;42;43;50;43;38;52;54;7;21;14;13;19;31;44;85;187
Henegouwen;1747;668;1079;56;103;66;43;67;72;67;111;83;33;33;39;30;37;59;104;215;529
Luik;1702;679;1023;60;93;72;59;83;61;61;94;96;22;38;29;42;60;66;115;183;468
Namen;915;388;527;30;59;40;38;44;34;40;53;50;14;12;17;20;34;33;65;82;250
Luxemburg;408;169;239;11;32;15;13;24;24;12;20;18;4;7;3;16;18;14;20;35;122
Brussels Hoofdstedelijk Gewest;1656;789;867;81;117;75;68;76;58;74;128;112;22;65;33;33;43;57;88;157;369
