Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;16911;11608;5303;522;1328;1379;1462;1512;1343;886;1054;1169;953;110;333;424;456;492;522;482;559;825;1100
Région Flandre;9801;6633;3168;350;786;782;830;842;813;499;614;648;469;67;188;220;264;245;299;281;379;536;689
Région Wallonie;5568;3889;1679;135;392;454;514;568;407;299;345;403;372;38;95;141;152;201;176;148;139;236;353
Région de Bruxelles-capitale;1542;1086;456;37;150;143;118;102;123;88;95;118;112;5;50;63;40;46;47;53;41;53;58
Prov Brabant flamand;2166;1541;625;61;189;177;193;202;186;131;144;154;104;10;46;45;65;54;69;75;61;85;115
Prov Flandre occidentale;1847;1223;624;68;150;133;163;144;144;77;118;130;96;12;22;36;42;36;46;45;84;129;172
Prov Flandre orientale;2347;1554;793;108;134;202;199;215;188;109;150;142;107;19;41;50;75;78;60;61;112;136;161
Prov Anvers;2549;1707;842;86;225;194;199;204;223;148;140;166;122;18;59;65;66;59;100;85;92;133;165
Prov Limbourg;892;608;284;27;88;76;76;77;72;34;62;56;40;8;20;24;16;18;24;15;30;53;76
Prov Brabant wallon;922;673;249;23;58;74;88;111;60;62;65;73;59;4;11;20;30;31;28;28;21;30;46
Prov Hainaut;1605;1110;495;37;101;139;166;155;123;100;103;115;71;9;29;55;50;58;57;48;59;71;59
Prov Liège;1907;1311;596;47;147;132;149;183;131;86;98;138;200;18;38;39;42;71;50;48;36;77;177
Prov Namur;791;566;225;21;60;77;83;77;69;39;59;57;24;5;11;19;18;27;30;16;20;38;41
Prov Luxembourg;343;229;114;7;26;32;28;42;24;12;20;20;18;2;6;8;12;14;11;8;3;20;30
Prov Région de Bruxelles-capitale;1542;1086;456;37;150;143;118;102;123;88;95;118;112;5;50;63;40;46;47;53;41;53;58
