Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;15072;5450;9622;0;447;631;690;858;713;760;767;394;190;0;129;293;360;515;643;1221;1865;1942;2654
Région Flandre;8330;2941;5389;0;296;344;423;505;425;412;333;138;65;0;95;158;210;294;368;717;1029;1075;1443
Région Wallonie;5214;1855;3359;0;113;207;188;285;229;255;302;188;88;0;24;97;120;178;214;398;659;691;978
Région Région de Bruxelles-capitale;1528;654;874;0;38;80;79;68;59;93;132;68;37;0;10;38;30;43;61;106;177;176;233
Prov Brabant flamand;1707;692;1015;0;62;78;86;96;105;115;92;34;24;0;19;34;40;54;86;140;193;191;258
Prov Flandre occidentale;1514;414;1100;0;57;58;70;75;43;47;38;19;7;0;14;31;36;62;66;128;199;229;335
Prov Flandre orientale;1894;634;1260;0;71;92;97;97;85;83;70;28;11;0;21;36;54;64;79;181;229;261;335
Prov Anvers;2171;815;1356;0;67;77;118;165;130;115;89;39;15;0;25;35;55;65;97;172;275;255;377
Prov Limbourg;1044;386;658;0;39;39;52;72;62;52;44;18;8;0;16;22;25;49;40;96;133;139;138
Prov Brabant wallon;722;317;405;0;16;34;38;49;44;41;47;34;14;0;3;14;11;22;29;57;91;74;104
Prov Hainaut;1644;528;1116;0;34;49;41;79;67;84;96;51;27;0;11;30;34;41;61;117;257;227;338
Prov Liège;1632;561;1071;0;32;72;56;90;61;72;85;63;30;0;7;32;35;68;70;130;195;229;305
Prov Namur;844;307;537;0;17;37;39;42;32;44;55;30;11;0;1;18;20;34;39;70;82;108;165
Prov Luxembourg;372;142;230;0;14;15;14;25;25;14;19;10;6;0;2;3;20;13;15;24;34;53;66
Prov Région de Bruxelles-capitale;1528;654;874;0;38;80;79;68;59;93;132;68;37;0;10;38;30;43;61;106;177;176;233
