Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;792;680;112;151;219;85;78;40;40;33;25;7;2;13;22;14;9;15;9;13;7;7;3
Gewest Vlaanderen;645;591;54;141;208;76;69;29;29;19;15;4;1;6;14;7;7;7;3;4;3;2;1
Gewest Wallonië;109;67;42;7;7;3;8;7;10;12;10;2;1;4;7;3;0;5;5;8;4;4;2
Gewest Brussels hoofdstedelijk gewest;38;22;16;3;4;6;1;4;1;2;0;1;0;3;1;4;2;3;1;1;0;1;0
Prov Vlaams Brabant;96;87;9;20;30;16;8;4;5;3;1;0;0;0;1;1;2;1;2;1;0;1;0
Prov West-Vlaanderen;156;138;18;44;51;20;12;3;3;4;1;0;0;5;4;3;1;2;1;0;0;1;1
Prov Oost-Vlaanderen;172;154;18;43;53;15;20;9;7;3;3;1;0;0;8;2;4;2;0;0;2;0;0
Prov Antwerpen;166;159;7;28;55;19;21;8;11;8;7;2;0;1;1;1;0;2;0;1;1;0;0
Prov Limburg;55;53;2;6;19;6;8;5;3;1;3;1;1;0;0;0;0;0;0;2;0;0;0
Prov Waals Brabant;32;16;16;1;3;1;1;3;3;2;1;1;0;1;5;0;0;1;1;3;3;1;1
Prov Henegouwen;33;24;9;2;3;0;3;2;3;3;6;1;1;1;1;0;0;1;1;1;1;2;1
Prov Luik;14;9;5;2;0;1;2;1;2;1;0;0;0;1;0;1;0;2;0;0;0;1;0
Prov Namen;24;15;9;2;0;1;1;0;2;6;3;0;0;0;1;1;0;1;2;4;0;0;0
Prov Luxemburg;6;3;3;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0
Prov Brussels hoofdstedelijk gewest;38;22;16;3;4;6;1;4;1;2;0;1;0;3;1;4;2;3;1;1;0;1;0
