gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;9053;8114;939;1059;1101;976;833;1029;977;882;691;358;71;235;141;101;90;77;64;64;53;37;26
Gewest Vlaanderen;4465;3894;571;569;476;431;380;475;512;445;329;136;44;154;67;57;48;40;47;36;39;25;16
Gewest Wallonië;3907;3615;292;349;496;457;410;504;413;396;336;198;24;63;61;32;32;27;14;25;12;11;8
Gewest Brussels hoofdstedelijk gewest;681;605;76;141;129;88;43;50;52;41;26;24;3;18;13;12;10;10;3;3;2;1;2
Prov Vlaams Brabant;638;533;105;61;59;68;55;73;71;73;33;21;7;20;10;11;11;9;8;11;7;3;4
Prov West-Vlaanderen;857;758;99;93;72;81;77;99;111;95;84;29;8;19;12;13;12;10;6;5;12;6;1
Prov Oost-Vlaanderen;817;705;112;102;69;77;71;86;95;85;63;30;7;29;10;14;6;7;10;11;4;6;4
Prov Antwerpen;1341;1176;165;183;152;114;95;129;163;133;111;39;16;63;22;9;10;9;16;6;6;5;2
Prov Limburg;812;722;90;130;124;91;82;88;72;59;38;17;6;23;13;10;9;5;7;3;10;5;5
Prov Waals Brabant;198;180;18;4;13;11;18;27;30;27;31;18;1;1;0;2;3;3;0;3;2;2;2
Prov Henegouwen;1525;1414;111;142;178;157;149;213;162;152;145;85;13;23;24;15;13;9;3;13;3;2;3
Prov Luik;1284;1198;86;91;185;159;147;158;141;148;96;57;8;12;20;10;8;8;8;4;5;6;2
Prov Namen;647;586;61;84;90;95;67;76;54;46;40;27;1;24;12;4;8;7;2;3;0;0;1
Prov Luxemburg;253;237;16;28;30;35;29;30;26;23;24;11;1;3;5;1;0;0;1;2;2;1;0
Prov Brussels hoofdstedelijk gewest;681;605;76;141;129;88;43;50;52;41;26;24;3;18;13;12;10;10;3;3;2;1;2
