Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;15439;5891;9548;0;530;769;639;845;747;679;863;534;285;0;139;319;321;462;555;877;1761;1899;3215
Gewest Vlaanderen;8610;3243;5367;0;374;440;384;496;450;385;404;212;98;0;105;180;184;260;318;521;1009;1025;1765
Gewest Wallonië;5279;1969;3310;0;123;245;179;271;228;235;317;235;136;0;23;97;104;160;187;276;599;686;1178
Gewest Brussels hoofdstedelijk gewest;1550;679;871;0;33;84;76;78;69;59;142;87;51;0;11;42;33;42;50;80;153;188;272
Prov Vlaams Brabant;1766;751;1015;0;78;99;68;104;105;91;116;58;32;0;15;41;44;46;66;110;197;190;306
Prov West-Vlaanderen;1556;458;1098;0;63;73;66;68;63;39;55;19;12;0;16;33;25;56;68;79;199;209;413
Prov Oost-Vlaanderen;1967;723;1244;0;99;114;96;105;81;93;70;48;17;0;29;36;48;62;65;132;225;232;415
Prov Antwerpen;2240;890;1350;0;88;103;107;147;139;107;114;60;25;0;29;43;44;62;80;129;258;258;447
Prov Limburg;1081;421;660;0;46;51;47;72;62;55;49;27;12;0;16;27;23;34;39;71;130;136;184
Prov Waals Brabant;742;340;402;0;19;41;41;43;42;40;45;49;20;0;3;15;11;18;26;37;78;87;127
Prov Henegouwen;1660;567;1093;0;40;65;36;69;68;78;100;70;41;0;8;35;27;36;55;78;219;235;400
Prov Luik;1635;583;1052;0;30;75;56;83;63;67;97;70;42;0;9;27;38;54;65;90;188;213;368
Prov Namen;863;334;529;0;22;47;33;53;31;35;55;37;21;0;1;17;17;33;26;53;85;98;199
Prov Luxemburg;379;145;234;0;12;17;13;23;24;15;20;9;12;0;2;3;11;19;15;18;29;53;84
Prov Brussels hoofdstedelijk gewest;1550;679;871;0;33;84;76;78;69;59;142;87;51;0;11;42;33;42;50;80;153;188;272
