Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;4769;3728;1041;229;539;464;378;277;551;508;560;214;8;77;198;151;111;74;75;138;139;75;3
Région Flandre;2470;2036;434;140;256;208;205;166;346;296;319;95;5;40;78;52;36;32;25;54;67;49;1
Région Wallonie;1983;1461;522;82;237;221;151;101;183;185;204;94;3;35;100;81;67;34;44;76;61;22;2
Région Région de Bruxelles-capitale;316;231;85;7;46;35;22;10;22;27;37;25;0;2;20;18;8;8;6;8;11;4;0
Prov Brabant flamand;492;374;118;24;36;34;30;30;64;56;79;20;1;8;19;9;6;11;8;16;24;17;0
Prov Flandre occidentale;486;399;87;26;67;38;37;31;69;54;59;17;1;9;21;10;7;8;8;9;10;5;0
Prov Flandre orientale;519;444;75;25;64;48;43;44;76;56;57;30;1;3;12;9;13;2;3;10;11;12;0
Prov Anvers;693;579;114;35;63;63;66;43;108;86;95;18;2;9;16;19;9;9;6;14;18;13;1
Prov Limbourg;280;240;40;30;26;25;29;18;29;44;29;10;0;11;10;5;1;2;0;5;4;2;0
Prov Brabant wallon;203;156;47;9;19;19;16;15;16;25;26;11;0;4;10;9;4;1;3;5;8;3;0
Prov Hainaut;716;522;194;31;84;98;56;36;57;67;68;25;0;14;46;34;22;14;16;18;19;11;0
Prov Liège;644;479;165;21;87;59;50;30;67;55;65;42;3;9;27;25;24;9;11;31;21;7;1
Prov Namur;320;223;97;15;31;38;21;15;28;25;36;14;0;7;15;11;16;8;12;18;8;1;1
Prov Luxembourg;100;81;19;6;16;7;8;5;15;13;9;2;0;1;2;2;1;2;2;4;5;0;0
Prov Région de Bruxelles-capitale;316;231;85;7;46;35;22;10;22;27;37;25;0;2;20;18;8;8;6;8;11;4;0
