Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;4715;4412;303;633;1125;693;451;328;337;316;257;196;76;37;92;32;30;24;22;22;18;16;10
Gewest Vlaanderen;2844;2666;178;429;692;382;222;177;196;209;179;134;46;27;64;18;13;11;9;7;9;13;7
Gewest Wallonië;1518;1422;96;173;329;241;191;132;125;90;66;51;24;7;19;10;13;13;12;10;8;2;2
Gewest Brussels hoofdstedelijk gewest;353;324;29;31;104;70;38;19;16;17;12;11;6;3;9;4;4;0;1;5;1;1;1
Prov Vlaams Brabant;593;562;31;96;149;75;51;31;39;43;40;28;10;4;7;3;4;1;2;3;1;5;1
Prov West-Vlaanderen;557;506;51;106;130;69;38;28;32;32;33;29;9;5;15;7;3;5;2;2;5;3;4
Prov Oost-Vlaanderen;601;564;37;69;147;79;55;36;61;39;38;32;8;7;16;2;3;1;5;0;2;1;0
Prov Antwerpen;762;717;45;106;189;123;57;57;41;61;47;25;11;6;23;4;1;3;0;2;1;4;1
Prov Limburg;331;317;14;52;77;36;21;25;23;34;21;20;8;5;3;2;2;1;0;0;0;0;1
Prov Waals Brabant;214;205;9;12;38;29;39;21;18;20;11;10;7;1;2;1;0;2;1;1;1;0;0
Prov Henegouwen;543;513;30;84;107;89;71;51;45;27;20;13;6;2;7;2;3;6;2;3;2;2;1
Prov Luik;482;446;36;41;118;74;49;33;46;29;30;20;6;2;4;5;6;5;7;4;3;0;0
Prov Namen;177;168;9;19;43;33;20;19;13;9;5;4;3;1;2;1;3;0;2;0;0;0;0
Prov Luxemburg;102;90;12;17;23;16;12;8;3;5;0;4;2;1;4;1;1;0;0;2;2;0;1
Prov Brussels hoofdstedelijk gewest;353;324;29;31;104;70;38;19;16;17;12;11;6;3;9;4;4;0;1;5;1;1;1
