Gebied;Totaal;Geslacht;Unnamed: 3;Vrouw;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Man;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18
;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;-25;25-29;30-34;35-39;40-44;45-49;55-59
België;2198.0;1472;726;168;1157;102;21;16;5;2;1;69;539;81;19;11;5;2
Vlaams Gewest;1076.0;713;363;110;541;44;7;8;1;1;1;53;266;31;5;4;3;1
Waals Gewest;752.0;519;233;47;427;36;5;1;3;0;0;14;178;26;11;2;1;1
Brussels Hoofdstedelijk Gewest;370.0;240;130;11;189;22;9;7;1;1;0;2;95;24;3;5;1;0
Vlaams Brabant;217.0;153;64;19;117;12;2;1;1;0;1;7;47;7;1;1;1;0
West-Vlaanderen;172.0;120;52;20;98;2;0;0;0;0;0;6;43;3;0;0;0;0
Oost-Vlaanderen;288.0;178;110;29;134;9;2;4;0;0;0;19;82;7;0;1;1;0
Antwerpen;310.0;210;100;33;155;16;2;3;0;1;0;16;69;9;3;2;1;0
Limburg;89.0;52;37;9;37;5;1;0;0;0;0;5;25;5;1;0;0;1
Waals Brabant;81.0;58;23;3;49;5;0;0;1;0;0;1;20;1;1;0;0;0
Henegouwen;244.0;177;67;15;146;11;2;1;2;0;0;4;53;7;2;1;0;0
Luik;270.0;168;102;17;138;11;2;0;0;0;0;8;75;11;5;1;1;1
Namen;104.0;74;30;7;63;4;0;0;0;0;0;1;20;6;3;0;0;0
Luxemburg;53.0;42;11;5;31;5;1;0;0;0;0;0;10;1;0;0;0;0
Brussels Hoofdstedelijk Gewest;370.0;240;130;11;189;22;9;7;1;1;0;2;95;24;3;5;1;0
