Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;717;533;184;0;483;28;12;7;1;0;1;1;0;2;151;19;6;1;2;1;2;0;0
Gewest Vlaanderen;436;324;112;0;298;15;6;4;0;0;0;1;0;1;101;8;1;0;0;1;0;0;0
Gewest Wallonië;170;131;39;0;125;4;2;0;0;0;0;0;0;0;31;4;2;0;1;0;1;0;0
Gewest Brussels hoofdstedelijk gewest;111;78;33;0;60;9;4;3;1;0;1;0;0;1;19;7;3;1;1;0;1;0;0
Prov Vlaams Brabant;98;81;17;0;76;3;1;1;0;0;0;0;0;0;14;2;1;0;0;0;0;0;0
Prov West-Vlaanderen;63;47;16;0;45;2;0;0;0;0;0;0;0;1;15;0;0;0;0;0;0;0;0
Prov Oost-Vlaanderen;109;82;27;0;76;3;1;2;0;0;0;0;0;0;25;2;0;0;0;0;0;0;0
Prov Antwerpen;114;76;38;0;68;3;3;1;0;0;0;1;0;0;33;4;0;0;0;1;0;0;0
Prov Limburg;52;38;14;0;33;4;1;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0
Prov Waals Brabant;24;18;6;0;17;1;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0
Prov Henegouwen;56;41;15;0;39;1;1;0;0;0;0;0;0;0;13;2;0;0;0;0;0;0;0
Prov Luik;56;44;12;0;41;2;1;0;0;0;0;0;0;0;9;0;1;0;1;0;1;0;0
Prov Namen;20;15;5;0;15;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0
Prov Luxemburg;14;13;1;0;13;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;111;78;33;0;60;9;4;3;1;0;1;0;0;1;19;7;3;1;1;0;1;0;0
