Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;10766;9695;1071;1338;2108;1725;1457;932;421;608;625;413;68;144;252;114;125;109;48;56;89;87;47
Région Flandre;7971;7192;779;1094;1604;1284;965;669;330;444;472;298;32;119;183;84;80;62;31;42;73;72;33
Région Wallonie;2236;2019;217;181;375;367;425;224;73;132;127;84;31;10;47;21;35;40;14;12;14;13;11
Région Région de Bruxelles-capitale;559;484;75;63;129;74;67;39;18;32;26;31;5;15;22;9;10;7;3;2;2;2;3
Prov Brabant flamand;879;793;86;95;186;131;108;80;42;52;55;41;3;6;30;10;8;9;3;8;3;8;1
Prov Flandre occidentale;1979;1754;225;269;378;299;258;163;62;121;121;72;11;28;48;25;22;15;9;14;25;21;18
Prov Flandre orientale;2096;1878;218;274;427;320;242;164;85;125;130;102;9;26;42;23;24;19;11;14;24;24;11
Prov Anvers;1798;1670;128;289;354;326;205;148;77;87;116;61;7;23;32;12;14;8;4;6;14;14;1
Prov Limbourg;1219;1097;122;167;259;208;152;114;64;59;50;22;2;36;31;14;12;11;4;0;7;5;2
Prov Brabant wallon;309;283;26;31;48;40;56;29;7;16;33;18;5;1;4;2;6;4;1;1;4;1;2
Prov Hainaut;767;682;85;66;138;113;150;76;31;47;35;20;6;3;23;8;10;14;9;4;6;4;4
Prov Liège;675;599;76;43;116;124;128;65;21;39;30;23;10;2;16;9;13;14;3;5;3;7;4
Prov Namur;334;309;25;22;43;60;63;38;11;22;22;20;8;4;2;2;6;5;1;2;1;1;1
Prov Luxembourg;151;146;5;19;30;30;28;16;3;8;7;3;2;0;2;0;0;3;0;0;0;0;0
Prov Région de Bruxelles-capitale;559;484;75;63;129;74;67;39;18;32;26;31;5;15;22;9;10;7;3;2;2;2;3
