Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;9053;8114;939;1059;1101;976;833;1029;977;882;691;358;71;235;141;101;90;77;64;64;53;37;26
Région Flandre;4465;3894;571;569;476;431;380;475;512;445;329;136;44;154;67;57;48;40;47;36;39;25;16
Région Wallonie;3907;3615;292;349;496;457;410;504;413;396;336;198;24;63;61;32;32;27;14;25;12;11;8
Région Région de Bruxelles-capitale;681;605;76;141;129;88;43;50;52;41;26;24;3;18;13;12;10;10;3;3;2;1;2
Prov Brabant flamand;638;533;105;61;59;68;55;73;71;73;33;21;7;20;10;11;11;9;8;11;7;3;4
Prov Flandre occidentale;857;758;99;93;72;81;77;99;111;95;84;29;8;19;12;13;12;10;6;5;12;6;1
Prov Flandre orientale;817;705;112;102;69;77;71;86;95;85;63;30;7;29;10;14;6;7;10;11;4;6;4
Prov Anvers;1341;1176;165;183;152;114;95;129;163;133;111;39;16;63;22;9;10;9;16;6;6;5;2
Prov Limbourg;812;722;90;130;124;91;82;88;72;59;38;17;6;23;13;10;9;5;7;3;10;5;5
Prov Brabant wallon;198;180;18;4;13;11;18;27;30;27;31;18;1;1;0;2;3;3;0;3;2;2;2
Prov Hainaut;1525;1414;111;142;178;157;149;213;162;152;145;85;13;23;24;15;13;9;3;13;3;2;3
Prov Liège;1284;1198;86;91;185;159;147;158;141;148;96;57;8;12;20;10;8;8;8;4;5;6;2
Prov Namur;647;586;61;84;90;95;67;76;54;46;40;27;1;24;12;4;8;7;2;3;0;0;1
Prov Luxembourg;253;237;16;28;30;35;29;30;26;23;24;11;1;3;5;1;0;0;1;2;2;1;0
Prov Région de Bruxelles-capitale;681;605;76;141;129;88;43;50;52;41;26;24;3;18;13;12;10;10;3;3;2;1;2
