Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;958;676;282;5;596;44;11;11;4;4;1;0;0;4;238;18;7;2;4;5;3;1;0
Région Flandre;547;392;155;2;351;20;4;10;2;3;0;0;0;3;135;7;4;0;3;2;1;0;0
Région Wallonie;265;187;78;3;168;10;2;1;2;1;0;0;0;1;65;5;2;2;1;1;0;1;0
Région Région de Bruxelles-capitale;146;97;49;0;77;14;5;0;0;0;1;0;0;0;38;6;1;0;0;2;2;0;0
Prov Brabant flamand;93;73;20;1;63;7;0;1;1;0;0;0;0;0;18;1;1;0;0;0;0;0;0
Prov Flandre occidentale;88;52;36;0;50;1;0;0;0;1;0;0;0;0;32;1;2;0;0;1;0;0;0
Prov Flandre orientale;145;104;41;0;92;5;2;5;0;0;0;0;0;1;37;1;0;0;1;1;0;0;0
Prov Anvers;137;100;37;0;89;3;2;3;1;2;0;0;0;1;33;2;0;0;0;0;1;0;0
Prov Limbourg;84;63;21;1;57;4;0;1;0;0;0;0;0;1;15;2;1;0;2;0;0;0;0
Prov Brabant wallon;37;29;8;0;24;3;0;1;0;1;0;0;0;0;8;0;0;0;0;0;0;0;0
Prov Hainaut;80;59;21;0;52;5;1;0;1;0;0;0;0;0;19;0;1;1;0;0;0;0;0
Prov Liège;87;57;30;1;54;1;1;0;0;0;0;0;0;1;21;5;1;1;1;0;0;0;0
Prov Namur;38;26;12;1;24;1;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0
Prov Luxembourg;23;16;7;1;14;0;0;0;1;0;0;0;0;0;5;0;0;0;0;1;0;1;0
Prov Région de Bruxelles-capitale;146;97;49;0;77;14;5;0;0;0;1;0;0;0;38;6;1;0;0;2;2;0;0
