territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;810;572;238;11;499;40;10;7;2;2;1;0;0;3;186;28;5;3;4;6;3;0;0
Région Flandre;490;362;128;4;330;12;7;7;1;1;0;0;0;2;109;10;2;0;2;3;0;0;0
Région Wallonie;203;141;62;5;119;15;0;0;1;0;1;0;0;0;51;7;0;2;0;0;2;0;0
Région Région de Bruxelles-capitale;117;69;48;2;50;13;3;0;0;1;0;0;0;1;26;11;3;1;2;3;1;0;0
Prov Brabant flamand;79;58;21;0;50;4;2;2;0;0;0;0;0;0;17;2;0;0;2;0;0;0;0
Prov Flandre occidentale;81;56;25;2;54;0;0;0;0;0;0;0;0;1;22;1;1;0;0;0;0;0;0
Prov Flandre orientale;126;100;26;1;90;3;3;3;0;0;0;0;0;0;23;2;0;0;0;1;0;0;0
Prov Anvers;134;97;37;1;89;3;2;0;1;1;0;0;0;1;31;3;0;0;0;2;0;0;0
Prov Limbourg;70;51;19;0;47;2;0;2;0;0;0;0;0;0;16;2;1;0;0;0;0;0;0
Prov Brabant wallon;35;24;11;0;20;4;0;0;0;0;0;0;0;0;10;0;0;1;0;0;0;0;0
Prov Hainaut;62;44;18;0;38;5;0;0;1;0;0;0;0;0;15;3;0;0;0;0;0;0;0
Prov Liège;66;44;22;2;36;5;0;0;0;0;1;0;0;0;16;4;0;1;0;0;1;0;0
Prov Namur;26;19;7;3;15;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0
Prov Luxembourg;14;10;4;0;10;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0
Prov Région de Bruxelles-capitale;117;69;48;2;50;13;3;0;0;1;0;0;0;1;26;11;3;1;2;3;1;0;0
