territoire;total;total_femmes;total_hommes;femmes_moins20;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_moins20;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;74548;69431;5117;263;8793;9890;9256;7684;7823;8925;8103;5399;2659;636;20;999;934;782;574;526;437;367;276;158;44
Région Flandre;42761;40145;2616;247;6359;5669;4953;3891;4238;5138;4768;3150;1449;283;20;731;475;328;229;204;209;192;137;77;14
Région Wallonie;26501;24625;1876;12;2000;3502;3604;3187;3016;3215;2877;1919;1021;272;0;215;358;352;255;225;155;128;98;68;22
Région de Bruxelles-capitale;5286;4661;625;4;434;719;699;606;569;572;458;330;189;81;0;53;101;102;90;97;73;47;41;13;8
Prov Brabant flamand;6467;6007;460;27;729;719;691;592;744;886;773;516;263;67;2;103;72;51;51;41;42;43;37;13;5
Prov Flandre occidentale;9119;8619;500;104;1803;1188;1014;820;823;1008;916;614;271;58;7;222;88;59;23;32;33;21;10;3;2
Prov Flandre orientale;10586;9991;595;43;1421;1444;1227;1027;1050;1303;1252;794;362;68;6;130;110;92;57;51;57;42;36;11;3
Prov Anvers;11409;10656;753;57;1596;1640;1390;1016;1077;1270;1265;895;377;73;5;180;155;92;66;61;67;59;36;30;2
Prov Limbourg;5180;4872;308;16;810;678;631;436;544;671;562;331;176;17;0;96;50;34;32;19;10;27;18;20;2
Prov Brabant wallon;1781;1649;132;2;136;184;197;225;194;220;212;167;77;35;0;16;19;24;13;22;13;11;9;3;2
Prov Hainaut;11193;10384;809;3;837;1423;1538;1346;1257;1342;1229;870;446;93;0;89;157;158;120;108;63;46;30;30;8
Prov Liège;8245;7660;585;2;591;1205;1176;1002;936;1018;856;494;293;87;0;59;121;114;69;60;48;43;41;26;4
Prov Namur;3634;3364;270;5;291;478;471;427;435;405;390;277;146;39;0;35;47;47;42;27;23;24;13;6;6
Prov Luxembourg;1648;1568;80;0;145;212;222;187;194;230;190;111;59;18;0;16;14;9;11;8;8;4;5;3;2
Prov Région de Bruxelles-capitale;5286;4661;625;4;434;719;699;606;569;572;458;330;189;81;0;53;101;102;90;97;73;47;41;13;8
