gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;9972;9873;99;986;1660;1348;1023;958;1027;1165;694;365;647;0;5;6;11;14;18;22;18;5;0
Gewest Vlaanderen;6738;6674;64;756;1070;952;746;613;698;811;453;245;330;0;2;4;5;7;17;16;10;3;0
Gewest Wallonië;2495;2467;28;156;383;286;231;299;276;283;204;104;245;0;2;1;4;5;1;6;7;2;0
Gewest Brussels hoofdstedelijk gewest;739;732;7;74;207;110;46;46;53;71;37;16;72;0;1;1;2;2;0;0;1;0;0
Prov Vlaams Brabant;1263;1247;16;134;215;155;119;115;142;156;80;36;95;0;1;1;2;0;3;4;3;2;0
Prov West-Vlaanderen;1339;1329;10;179;211;171;138;121;142;154;112;53;48;0;0;0;0;1;2;5;2;0;0
Prov Oost-Vlaanderen;1350;1333;17;172;236;221;182;135;131;138;65;24;29;0;0;1;2;2;7;4;0;1;0
Prov Antwerpen;1848;1834;14;181;266;261;211;164;196;244;126;86;99;0;1;2;1;2;3;2;3;0;0
Prov Limburg;938;931;7;90;142;144;96;78;87;119;70;46;59;0;0;0;0;2;2;1;2;0;0
Prov Waals Brabant;314;310;4;16;37;25;26;35;45;42;27;18;39;0;0;0;0;0;1;1;1;1;0
Prov Henegouwen;737;727;10;38;115;87;69;109;89;82;79;32;27;0;0;0;1;3;0;1;5;0;0
Prov Luik;810;799;11;58;146;105;80;81;70;73;57;26;103;0;1;1;3;2;0;3;0;1;0
Prov Namen;428;427;1;30;56;51;38;50;38;58;24;23;59;0;0;0;0;0;0;1;0;0;0
Prov Luxemburg;206;204;2;14;29;18;18;24;34;28;17;5;17;0;1;0;0;0;0;0;1;0;0
Prov Brussels hoofdstedelijk gewest;739;732;7;74;207;110;46;46;53;71;37;16;72;0;1;1;2;2;0;0;1;0;0
