Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;1695;1352;343;193;415;233;201;109;58;65;35;21;22;12;40;29;28;34;21;23;43;32;81
Région Flandre;1361;1176;185;179;383;215;183;88;38;44;18;14;14;7;24;17;16;11;9;9;17;25;50
Région Wallonie;243;123;120;10;17;10;12;18;16;16;11;6;7;4;10;7;7;14;9;13;20;6;30
Région Région de Bruxelles-capitale;91;53;38;4;15;8;6;3;4;5;6;1;1;1;6;5;5;9;3;1;6;1;1
Prov Brabant flamand;204;169;35;36;44;29;31;10;5;6;3;2;3;0;4;2;1;4;1;2;6;3;12
Prov Flandre occidentale;320;275;45;49;100;47;41;11;4;13;5;2;3;3;6;3;3;4;1;3;2;5;15
Prov Flandre orientale;378;317;61;37;119;48;47;26;13;12;5;7;3;2;8;10;8;2;4;2;4;11;10
Prov Anvers;338;307;31;43;90;65;49;32;12;7;4;0;5;2;6;2;3;0;2;1;1;4;10
Prov Limbourg;121;108;13;14;30;26;15;9;4;6;1;3;0;0;0;0;1;1;1;1;4;2;3
Prov Brabant wallon;58;28;30;2;4;1;3;5;2;7;3;0;1;1;3;4;2;1;3;0;9;2;5
Prov Hainaut;62;31;31;4;5;3;3;6;4;2;3;0;1;2;1;2;0;5;1;4;5;2;9
Prov Liège;66;36;30;4;5;3;4;6;5;3;2;0;4;0;3;0;3;4;3;3;1;2;11
Prov Namur;44;22;22;0;3;2;1;0;3;4;3;5;1;1;3;1;1;3;2;3;5;0;3
Prov Luxembourg;13;6;7;0;0;1;1;1;2;0;0;1;0;0;0;0;1;1;0;3;0;0;2
Prov Région de Bruxelles-capitale;91;53;38;4;15;8;6;3;4;5;6;1;1;1;6;5;5;9;3;1;6;1;1
