Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_min20;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_min20;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;11355;10043;1312;158;1117;1551;1207;1113;934;1131;1019;843;666;304;37;269;305;169;104;105;84;70;70;51;48
Gewest Vlaanderen;5685;4890;795;95;627;753;541;500;418;562;521;436;306;131;25;182;184;87;63;52;46;47;41;36;32
Gewest Wallonië;4781;4377;404;52;370;606;547;508;468;517;446;373;336;154;9;66;94;68;30;40;29;18;24;13;13
Gewest Brussels hoofdstedelijk gewest;889;776;113;11;120;192;119;105;48;52;52;34;24;19;3;21;27;14;11;13;9;5;5;2;3
Prov Vlaams Brabant;872;719;153;19;95;90;92;80;54;88;76;68;35;22;4;34;29;17;10;14;8;12;15;3;7
Prov West-Vlaanderen;1018;895;123;8;87;117;82;95;72;121;112;99;77;25;0;20;27;14;14;11;11;4;7;13;2
Prov Oost-Vlaanderen;1079;915;164;14;136;151;79;87;83;100;103;77;60;25;6;43;35;11;18;7;10;11;9;5;9
Prov Antwerpen;1710;1470;240;41;211;224;162;135;112;152;158;132;101;42;12;75;59;28;12;11;12;13;7;6;5
Prov Limburg;1006;891;115;13;98;171;126;103;97;101;72;60;33;17;3;10;34;17;9;9;5;7;3;9;9
Prov Waals Brabant;240;216;24;1;12;15;14;16;21;33;33;29;27;15;0;2;1;1;3;5;2;1;3;4;2
Prov Henegouwen;1880;1717;163;25;150;244;199;167;173;219;182;146;148;64;6;35;32;26;15;15;10;7;10;2;5
Prov Luik;1567;1452;115;13;104;195;202;189;162;160;153;128;98;48;1;13;24;26;6;11;11;6;7;6;4
Prov Namen;776;699;77;10;76;116;91;96;80;76;53;43;38;20;0;15;29;9;4;7;6;4;2;0;1
Prov Luxemburg;318;293;25;3;28;36;41;40;32;29;25;27;25;7;2;1;8;6;2;2;0;0;2;1;1
Prov Brussels hoofdstedelijk gewest;889;776;113;11;120;192;119;105;48;52;52;34;24;19;3;21;27;14;11;13;9;5;5;2;3
