Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;13233;12745;488;1357;2474;1761;1749;1271;1076;1168;1016;547;326;12;21;20;35;28;37;72;89;84;90
Gewest Vlaanderen;7570;7282;288;896;1534;1028;1039;743;573;594;510;237;128;6;7;9;22;17;14;40;56;57;60
Gewest Wallonië;4761;4592;169;362;721;601;620;460;454;506;448;263;157;2;5;8;11;10;23;27;31;25;27
Gewest Brussels hoofdstedelijk gewest;902;871;31;99;219;132;90;68;49;68;58;47;41;4;9;3;2;1;0;5;2;2;3
Prov Vlaams Brabant;1268;1233;35;129;265;180;172;138;81;94;99;44;31;2;2;2;0;3;2;4;12;2;6
Prov West-Vlaanderen;1660;1577;83;216;333;217;231;164;123;135;96;44;18;0;0;1;4;5;2;15;18;17;21
Prov Oost-Vlaanderen;2099;2026;73;251;422;293;299;204;152;145;145;75;40;3;1;3;11;4;6;12;7;18;8
Prov Antwerpen;1777;1708;69;218;367;240;226;162;144;146;116;56;33;1;2;2;5;3;4;8;13;15;16
Prov Limburg;766;738;28;82;147;98;111;75;73;74;54;18;6;0;2;1;2;2;0;1;6;5;9
Prov Waals Brabant;667;648;19;35;92;86;87;84;53;66;61;47;37;0;0;1;2;3;5;2;1;3;2
Prov Henegouwen;1302;1240;62;110;193;146;169;137;128;135;126;60;36;1;2;4;2;0;9;11;16;7;10
Prov Luik;1689;1633;56;125;260;211;213;145;187;172;176;98;46;1;2;1;3;5;6;11;9;10;8
Prov Namen;694;669;25;58;120;97;88;53;48;85;55;41;24;0;0;1;3;1;3;2;4;5;6
Prov Luxemburg;409;402;7;34;56;61;63;41;38;48;30;17;14;0;1;1;1;1;0;1;1;0;1
Prov Brussels hoofdstedelijk gewest;902;871;31;99;219;132;90;68;49;68;58;47;41;4;9;3;2;1;0;5;2;2;3
