Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;27378;15984;11394;696;1847;2456;2303;2053;2085;1807;1466;891;380;264;828;1430;1452;1209;1395;1498;1530;1060;728
Gewest Vlaanderen;15438;9234;6204;300;1130;1500;1497;1208;1188;1013;824;412;162;106;430;765;773;627;766;832;904;579;422
Gewest Wallonië;9373;5230;4143;256;464;799;694;715;738;623;475;345;121;95;215;521;579;496;539;561;486;406;245
Gewest Brussels hoofdstedelijk gewest;2567;1520;1047;140;253;157;112;130;159;171;167;134;97;63;183;144;100;86;90;105;140;75;61
Prov Vlaams Brabant;3211;2017;1194;67;240;308;305;276;270;236;185;94;36;29;83;163;147;130;130;162;170;102;78
Prov West-Vlaanderen;3017;1657;1360;48;182;282;280;213;202;189;145;79;37;11;84;159;159;139;187;181;188;146;106
Prov Oost-Vlaanderen;3645;2260;1385;67;299;391;365;283;285;201;217;109;43;14;97;170;162;146;188;188;195;147;78
Prov Antwerpen;3729;2250;1479;76;277;353;351;307;322;267;169;92;36;39;114;162;180;139;187;199;212;127;120
Prov Limburg;1836;1050;786;42;132;166;196;129;109;120;108;38;10;13;52;111;125;73;74;102;139;57;40
Prov Waals Brabant;1600;1030;570;36;75;155;132;101;172;150;96;82;31;15;27;74;87;62;86;80;63;43;33
Prov Henegouwen;3001;1492;1509;56;125;204;203;231;202;165;146;118;42;27;61;157;199;174;186;198;205;190;112
Prov Luik;2736;1557;1179;99;136;255;203;211;206;200;139;82;26;24;73;168;162;152;156;166;137;93;48
Prov Namen;1299;712;587;30;68;98;92;119;94;82;65;47;17;12;28;79;90;70;71;85;55;58;39
Prov Luxemburg;737;439;298;35;60;87;64;53;64;26;29;16;5;17;26;43;41;38;40;32;26;22;13
Prov Brussels hoofdstedelijk gewest;2567;1520;1047;140;253;157;112;130;159;171;167;134;97;63;183;144;100;86;90;105;140;75;61
