Gebied;Totaal;Geslacht;Unnamed: 3;Vrouw;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Man;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23
;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
België;112996.0;103799;9197;13026;12871;12435;12109;10902;10158;10262;9754;6832;5450;1663;1598;1321;1025;950;748;745;504;330;313
Vlaams Gewest;68475.0;63342;5133;9527;8147;7402;6938;6064;5924;6138;6129;4102;2971;1242;955;681;484;424;342;369;291;193;152
Waals Gewest;38168.0;34894;3274;3002;4015;4353;4518;4172;3672;3517;3134;2402;2109;357;546;531;440;423;307;282;154;106;128
Brussels Hoofdstedelijk Gewest;6353.0;5563;790;497;709;680;653;666;562;607;491;328;370;64;97;109;101;103;99;94;59;31;33
Vlaams Brabant;9989.0;9190;799;1179;991;977;943;929;959;1025;974;681;532;181;96;101;78;80;63;65;49;50;36
West-Vlaanderen;13838.0;12903;935;2244;1853;1557;1291;1139;1155;1077;1176;806;605;293;212;128;73;62;52;51;35;21;8
Oost-Vlaanderen;16715.0;15524;1191;2246;1907;1816;1755;1483;1456;1498;1588;1021;754;281;205;167;116;105;84;91;73;43;26
Antwerpen;18383.0;16983;1400;2494;2182;2021;1991;1638;1538;1626;1566;1133;794;292;272;185;150;105;99;100;91;54;52
Limburg;9550.0;8742;808;1364;1214;1031;958;875;816;912;825;461;286;195;170;100;67;72;44;62;43;25;30
Waals Brabant;2349.0;2136;213;167;213;214;222;263;246;236;210;183;182;23;36;31;25;21;23;24;15;5;10
Henegouwen;16147.0;14752;1395;1257;1672;1816;1939;1802;1553;1489;1295;1023;906;136;236;224;189;204;135;125;60;40;46
Luik;12117.0;11043;1074;869;1323;1488;1498;1330;1189;1097;991;672;586;114;174;180;147;129;100;93;46;40;51
Namen;5131.0;4703;428;472;570;552;574;520;479;448;433;356;299;59;65;69;59;49;38;33;25;16;15
Luxemburg;2424.0;2260;164;237;237;283;285;257;205;247;205;168;136;25;35;27;20;20;11;7;8;5;6
Brussels Hoofdstedelijk Gewest;6353.0;5563;790;497;709;680;653;666;562;607;491;328;370;64;97;109;101;103;99;94;59;31;33
