Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;897;774;123;162;265;102;77;49;48;29;26;13;3;14;29;15;8;17;8;12;8;8;4
Région Flandre;743;679;64;152;252;89;70;40;34;17;14;10;1;10;18;7;7;8;3;4;2;4;1
Région Wallonie;110;67;43;6;5;7;4;8;12;9;12;3;1;3;8;4;0;5;4;7;6;3;3
Région Région de Bruxelles-capitale;44;28;16;4;8;6;3;1;2;3;0;0;1;1;3;4;1;4;1;1;0;1;0
Prov Brabant flamand;102;92;10;13;37;15;11;5;5;4;1;1;0;1;1;1;1;2;1;1;1;1;0
Prov Flandre occidentale;176;157;19;48;58;25;13;5;3;4;1;0;0;4;6;2;2;2;1;0;0;1;1
Prov Flandre orientale;198;176;22;42;70;15;20;12;10;3;1;3;0;2;9;4;3;2;1;0;1;0;0
Prov Anvers;204;193;11;40;67;24;20;13;12;4;9;4;0;3;2;0;1;2;0;1;0;2;0
Prov Limbourg;63;61;2;9;20;10;6;5;4;2;2;2;1;0;0;0;0;0;0;2;0;0;0
Prov Brabant wallon;32;15;17;2;1;2;0;3;3;3;0;1;0;2;4;1;0;1;1;2;4;0;2
Prov Hainaut;33;25;8;1;3;2;1;4;3;1;8;1;1;0;1;0;0;1;1;1;1;2;1
Prov Liège;16;10;6;3;0;1;1;1;3;1;0;0;0;0;2;1;0;2;0;0;0;1;0
Prov Namur;24;14;10;0;1;1;1;0;2;4;4;1;0;1;1;1;0;1;1;4;1;0;0
Prov Luxembourg;5;3;2;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Prov Région de Bruxelles-capitale;44;28;16;4;8;6;3;1;2;3;0;0;1;1;3;4;1;4;1;1;0;1;0
