Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;897;774;123;162;265;102;77;49;48;29;26;13;3;14;29;15;8;17;8;12;8;8;4
Gewest Vlaanderen;743;679;64;152;252;89;70;40;34;17;14;10;1;10;18;7;7;8;3;4;2;4;1
Gewest Wallonië;110;67;43;6;5;7;4;8;12;9;12;3;1;3;8;4;0;5;4;7;6;3;3
Gewest Brussels hoofdstedelijk gewest;44;28;16;4;8;6;3;1;2;3;0;0;1;1;3;4;1;4;1;1;0;1;0
Prov Vlaams Brabant;102;92;10;13;37;15;11;5;5;4;1;1;0;1;1;1;1;2;1;1;1;1;0
Prov West-Vlaanderen;176;157;19;48;58;25;13;5;3;4;1;0;0;4;6;2;2;2;1;0;0;1;1
Prov Oost-Vlaanderen;198;176;22;42;70;15;20;12;10;3;1;3;0;2;9;4;3;2;1;0;1;0;0
Prov Antwerpen;204;193;11;40;67;24;20;13;12;4;9;4;0;3;2;0;1;2;0;1;0;2;0
Prov Limburg;63;61;2;9;20;10;6;5;4;2;2;2;1;0;0;0;0;0;0;2;0;0;0
Prov Waals Brabant;32;15;17;2;1;2;0;3;3;3;0;1;0;2;4;1;0;1;1;2;4;0;2
Prov Henegouwen;33;25;8;1;3;2;1;4;3;1;8;1;1;0;1;0;0;1;1;1;1;2;1
Prov Luik;16;10;6;3;0;1;1;1;3;1;0;0;0;0;2;1;0;2;0;0;0;1;0
Prov Namen;24;14;10;0;1;1;1;0;2;4;4;1;0;1;1;1;0;1;1;4;1;0;0
Prov Luxemburg;5;3;2;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Prov Brussels hoofdstedelijk gewest;44;28;16;4;8;6;3;1;2;3;0;0;1;1;3;4;1;4;1;1;0;1;0
