Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_min20;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_min20;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;10693;9483;1210;140;1089;1432;1120;1053;919;1134;967;820;592;217;29;275;271;148;81;102;81;66;70;47;40
Gewest Vlaanderen;5327;4591;736;95;631;659;490;459;415;587;485;408;263;99;23;194;147;77;51;54;46;40;45;35;24
Gewest Wallonië;4540;4168;372;41;340;592;514;505;464;491;434;380;303;104;5;57;101;58;23;37;26;20;21;11;13
Gewest Brussels hoofdstedelijk gewest;826;724;102;4;118;181;116;89;40;56;48;32;26;14;1;24;23;13;7;11;9;6;4;1;3
Prov Vlaams Brabant;800;661;139;21;85;73;82;69;64;86;69;68;28;16;4;42;16;14;9;13;9;8;14;3;7
Prov West-Vlaanderen;964;845;119;9;84;105;77;88;75;128;103;94;61;21;1;25;18;15;13;16;7;4;8;11;1
Prov Oost-Vlaanderen;1005;855;150;20;128;118;81;86;76;109;91;77;51;18;7;37;32;12;12;7;12;9;10;5;7
Prov Antwerpen;1602;1385;217;29;231;193;135;126;106;170;151;121;89;34;9;77;53;17;10;10;13;11;9;4;4
Prov Limburg;956;845;111;16;103;170;115;90;94;94;71;48;34;10;2;13;28;19;7;8;5;8;4;12;5
Prov Waals Brabant;233;210;23;1;7;17;12;18;25;31;32;30;31;6;0;2;2;2;1;5;2;1;2;4;2
Prov Henegouwen;1790;1641;149;24;142;225;191;174;173;213;171;151;133;44;4;28;39;21;11;13;9;9;9;1;5
Prov Luik;1490;1380;110;8;90;205;189;177;161;148;159;121;86;36;0;12;26;22;6;12;10;5;8;5;4
Prov Namen;732;662;70;6;77;110;90;88;75;73;47;51;32;13;1;13;25;9;5;6;5;4;1;0;1
Prov Luxemburg;295;275;20;2;24;35;32;48;30;26;25;27;21;5;0;2;9;4;0;1;0;1;1;1;1
Prov Brussels hoofdstedelijk gewest;826;724;102;4;118;181;116;89;40;56;48;32;26;14;1;24;23;13;7;11;9;6;4;1;3
