Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;14678;4934;9744;0;297;620;849;755;684;875;550;194;110;0;127;308;465;544;880;1787;1944;1530;2159
Gewest Vlaanderen;8034;2598;5436;0;167;367;488;458;393;414;211;65;35;0;78;178;265;317;525;1020;1041;814;1198
Gewest Wallonië;5168;1739;3429;0;108;171;281;236;236;315;246;93;53;0;33;103;159;187;276;612;704;581;774
Gewest Brussels hoofdstedelijk gewest;1476;597;879;0;22;82;80;61;55;146;93;36;22;0;16;27;41;40;79;155;199;135;187
Prov Vlaams Brabant;1632;613;1019;0;37;65;100;106;96;119;59;17;14;0;24;40;42;64;112;199;191;141;206
Prov West-Vlaanderen;1490;358;1132;0;30;71;66;64;39;56;19;7;6;0;18;30;61;70;80;197;212;164;300
Prov Oost-Vlaanderen;1816;547;1269;0;45;86;103;84;92;73;47;13;4;0;17;45;63;67;134;231;237;215;260
Prov Antwerpen;2112;744;1368;0;36;105;147;145;110;116;59;20;6;0;12;41;63;76;128;261;266;201;320
Prov Limburg;984;336;648;0;19;40;72;59;56;50;27;8;5;0;7;22;36;40;71;132;135;93;112
Prov Waals Brabant;704;299;405;0;17;38;44;44;43;43;50;13;7;0;6;12;20;29;37;75;85;63;78
Prov Henegouwen;1641;493;1148;0;30;30;69;68;76;99;76;28;17;0;7;30;34;54;79;226;245;198;275
Prov Luik;1620;524;1096;0;31;57;86;66;67;98;71;28;20;0;10;32;55;65;88;191;223;185;247
Prov Namen;834;293;541;0;23;30;57;34;35;54;39;16;5;0;10;17;33;25;52;92;97;92;123
Prov Luxemburg;369;130;239;0;7;16;25;24;15;21;10;8;4;0;0;12;17;14;20;28;54;43;51
Prov Brussels hoofdstedelijk gewest;1476;597;879;0;22;82;80;61;55;146;93;36;22;0;16;27;41;40;79;155;199;135;187
