Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;15989;6450;9539;0;592;1005;636;736;871;655;835;663;457;0;202;336;327;387;536;680;1415;1867;3789
Gewest Vlaanderen;8982;3599;5383;0;404;610;366;443;525;384;433;271;163;0;136;215;185;214;307;391;811;1048;2076
Gewest Wallonië;5425;2131;3294;0;138;290;215;211;277;217;286;283;214;0;43;85;105;136;177;224;491;642;1391
Gewest Brussels hoofdstedelijk gewest;1582;720;862;0;50;105;55;82;69;54;116;109;80;0;23;36;37;37;52;65;113;177;322
Prov Vlaams Brabant;1820;807;1013;0;61;136;76;95;109;93;116;73;48;0;19;39;42;41;60;85;157;200;370
Prov West-Vlaanderen;1622;513;1109;0;68;103;57;68;75;37;54;30;21;0;34;33;33;43;65;62;151;210;478
Prov Oost-Vlaanderen;2045;799;1246;0;96;155;97;94;103;78;85;61;30;0;31;50;47;42;71;92;203;220;490
Prov Antwerpen;2338;992;1346;0;110;144;83;131;168;119;122;70;45;0;32;60;36;58;71;99;198;273;519
Prov Limburg;1157;488;669;0;69;72;53;55;70;57;56;37;19;0;20;33;27;30;40;53;102;145;219
Prov Waals Brabant;785;375;410;0;22;47;45;40;50;42;43;52;34;0;8;8;15;11;24;33;68;85;158
Prov Henegouwen;1689;609;1080;0;41;86;52;45;80;59;94;96;56;0;15;34;33;31;47;61;160;233;466
Prov Luik;1665;628;1037;0;39;86;63;64;80;63;86;71;76;0;11;27;33;47;62;70;157;195;435
Prov Namen;887;360;527;0;23;48;42;46;39;31;48;50;33;0;6;10;19;26;30;44;79;84;229
Prov Luxemburg;399;159;240;0;13;23;13;16;28;22;15;14;15;0;3;6;5;21;14;16;27;45;103
Prov Brussels hoofdstedelijk gewest;1582;720;862;0;50;105;55;82;69;54;116;109;80;0;23;36;37;37;52;65;113;177;322
