Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;9004;8908;96;873;1384;1199;892;1024;1115;966;531;317;607;1;4;7;12;18;18;25;9;2;0
Gewest Vlaanderen;6084;6020;64;657;935;907;591;675;761;663;341;211;279;0;3;2;7;14;16;17;4;1;0
Gewest Wallonië;2289;2263;26;155;294;227;250;307;279;254;162;86;249;1;0;3;4;3;2;8;4;1;0
Gewest Brussels hoofdstedelijk gewest;631;625;6;61;155;65;51;42;75;49;28;20;79;0;1;2;1;1;0;0;1;0;0
Prov Vlaams Brabant;1139;1124;15;130;183;123;95;120;162;131;57;34;89;0;1;0;2;1;4;5;2;0;0
Prov West-Vlaanderen;1211;1200;11;154;184;157;124;133;144;139;86;44;35;0;0;0;0;3;2;5;1;0;0
Prov Oost-Vlaanderen;1181;1164;17;150;181;247;111;157;132;107;35;21;23;0;0;1;2;6;4;3;0;1;0
Prov Antwerpen;1683;1669;14;140;250;260;174;176;214;190;111;76;78;0;2;1;3;1;4;2;1;0;0
Prov Limburg;870;863;7;83;137;120;87;89;109;96;52;36;54;0;0;0;0;3;2;2;0;0;0
Prov Waals Brabant;296;292;4;13;35;17;31;39;41;43;22;15;36;0;0;0;0;0;1;2;1;0;0
Prov Henegouwen;671;662;9;48;72;76;87;112;85;71;67;28;16;0;0;1;1;2;0;3;2;0;0
Prov Luik;750;740;10;55;126;78;77;79;74;69;48;16;118;0;0;2;3;1;1;2;0;1;0
Prov Namen;383;382;1;24;39;38;37;52;45;46;16;23;62;0;0;0;0;0;0;1;0;0;0
Prov Luxemburg;189;187;2;15;22;18;18;25;34;25;9;4;17;1;0;0;0;0;0;0;1;0;0
Prov Brussels hoofdstedelijk gewest;631;625;6;61;155;65;51;42;75;49;28;20;79;0;1;2;1;1;0;0;1;0;0
