Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;3765;3535;230;629;778;511;338;314;318;274;223;132;18;37;42;33;29;15;22;19;17;12;4
Région Flandre;2233;2106;127;433;416;256;179;176;204;188;158;88;8;30;21;17;12;7;9;8;11;10;2
Région Wallonie;1252;1168;84;162;279;205;134;123;95;73;51;40;6;5;16;12;17;8;9;9;5;2;1
Région Région de Bruxelles-capitale;280;261;19;34;83;50;25;15;19;13;14;4;4;2;5;4;0;0;4;2;1;0;1
Prov Brabant flamand;434;412;22;73;83;52;37;34;40;40;30;20;3;2;0;7;1;2;2;2;5;1;0
Prov Flandre occidentale;446;402;44;107;67;59;27;29;29;30;36;17;1;8;8;5;5;2;3;4;3;5;1
Prov Flandre orientale;470;445;25;78;92;53;36;46;51;36;33;19;1;9;4;3;2;2;3;1;0;1;0
Prov Anvers;600;572;28;113;125;68;56;46;55;51;39;17;2;9;7;1;2;1;1;1;3;2;1
Prov Limbourg;283;275;8;62;49;24;23;21;29;31;20;15;1;2;2;1;2;0;0;0;0;1;0
Prov Brabant wallon;180;171;9;18;31;33;19;19;20;12;9;8;2;0;3;0;1;2;1;1;1;0;0
Prov Hainaut;442;416;26;64;90;83;53;41;36;23;15;9;2;3;3;2;9;1;2;2;2;1;1
Prov Liège;413;381;32;51;99;54;38;45;27;30;22;14;1;2;2;7;7;5;5;3;1;0;0
Prov Namur;137;131;6;15;39;22;15;17;6;8;3;6;0;0;3;2;0;0;1;0;0;0;0
Prov Luxembourg;80;69;11;14;20;13;9;1;6;0;2;3;1;0;5;1;0;0;0;3;1;1;0
Prov Région de Bruxelles-capitale;280;261;19;34;83;50;25;15;19;13;14;4;4;2;5;4;0;0;4;2;1;0;1
