territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;730;536;194;8;470;38;10;6;2;0;1;1;0;1;149;28;4;2;3;4;3;0;0
Région Flandre;449;337;112;5;305;13;9;4;0;0;0;1;0;1;97;10;0;0;1;3;0;0;0
Région Wallonie;175;132;43;3;120;9;0;0;0;0;0;0;0;0;33;6;1;1;0;0;2;0;0
Région Région de Bruxelles-capitale;106;67;39;0;45;16;1;2;2;0;1;0;0;0;19;12;3;1;2;1;1;0;0
Prov Brabant flamand;90;74;16;1;66;2;4;1;0;0;0;0;0;0;13;2;0;0;1;0;0;0;0
Prov Flandre occidentale;74;55;19;0;53;2;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0
Prov Flandre orientale;115;89;26;1;81;4;1;2;0;0;0;0;0;0;21;4;0;0;0;1;0;0;0
Prov Anvers;114;78;36;3;70;2;2;0;0;0;0;1;0;1;29;4;0;0;0;2;0;0;0
Prov Limbourg;56;41;15;0;35;3;2;1;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0
Prov Brabant wallon;34;27;7;0;25;2;0;0;0;0;0;0;0;0;5;1;0;1;0;0;0;0;0
Prov Hainaut;53;37;16;1;33;3;0;0;0;0;0;0;0;0;12;4;0;0;0;0;0;0;0
Prov Liège;54;42;12;2;37;3;0;0;0;0;0;0;0;0;10;0;1;0;0;0;1;0;0
Prov Namur;27;21;6;0;20;1;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0
Prov Luxembourg;7;5;2;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
Prov Région de Bruxelles-capitale;106;67;39;0;45;16;1;2;2;0;1;0;0;0;19;12;3;1;2;1;1;0;0
