Territoire;Total;Total_Femmes;Total_Hommes;Femmes_moins20;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_moins20;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;109763;100782;8981;672;13979;15976;12928;11503;9952;10123;10265;8047;4869;2468;53;1693;2070;1249;1030;811;714;545;402;261;153
Région Flandre;66026;61102;4924;583;10226;10174;7295;6295;5511;5816;6221;4886;2805;1290;45;1211;1240;585;438;363;322;296;229;128;67
Région Wallonie;36613;33500;3113;81;3138;4762;4743;4419;3776;3643;3471;2716;1782;969;7;382;655;518;466;328;287;171;132;101;66
Région Région de Bruxelles-capitale;7124;6180;944;8;615;1040;890;789;665;664;573;445;282;209;1;100;175;146;126;120;105;78;41;32;20
Prov Brabant flamand;9519;8722;797;62;1187;1246;952;904;891;982;999;810;437;252;6;151;180;89;78;77;67;54;50;30;15
Prov Flandre occidentale;14184;13237;947;173;2700;2434;1519;1249;1139;1086;1189;931;564;253;10;291;292;104;69;48;54;40;27;7;5
Prov Flandre orientale;15988;14843;1145;138;2373;2340;1790;1556;1347;1434;1587;1248;720;310;15;263;258;141;109;105;74;81;55;32;12
Prov Anvers;17351;16045;1306;130;2406;2731;2067;1740;1425;1528;1592;1315;775;336;7;271;328;181;118;92;90;95;67;34;23
Prov Limbourg;8984;8255;729;80;1560;1423;967;846;709;786;854;582;309;139;7;235;182;70;64;41;37;26;30;25;12
Prov Brabant wallon;2325;2125;200;3;196;251;237;275;249;240;231;199;161;83;0;22;37;30;25;19;24;21;9;10;3
Prov Hainaut;15179;13860;1319;25;1207;1923;1939;1891;1562;1522;1433;1172;794;392;4;168;271;210;218;143;134;64;48;36;23
Prov Liège;11830;10811;1019;20;1005;1652;1672;1400;1246;1167;1109;780;456;304;0;110;215;190;153;102;85;54;45;37;28
Prov Namur;5014;4570;444;22;488;636;642;576;494;487;449;383;263;130;3;67;95;66;57;49;37;24;24;14;8
Prov Luxembourg;2265;2134;131;11;242;300;253;277;225;227;249;182;108;60;0;15;37;22;13;15;7;8;6;4;4
Prov Région de Bruxelles-capitale;7124;6180;944;8;615;1040;890;789;665;664;573;445;282;209;1;100;175;146;126;120;105;78;41;32;20
