territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;1033;901;132;201;318;125;73;58;48;29;28;16;5;14;37;14;10;16;8;11;10;5;7
Région Flandre;862;796;66;188;300;112;67;47;33;19;16;12;2;7;23;7;6;8;3;5;2;4;1
Région Wallonie;119;73;46;7;8;7;3;10;13;7;12;4;2;3;10;4;2;5;3;5;8;1;5
Région Région de Bruxelles-capitale;52;32;20;6;10;6;3;1;2;3;0;0;1;4;4;3;2;3;2;1;0;0;1
Prov Brabant flamand;130;119;11;34;39;18;11;5;6;3;2;1;0;1;3;0;1;2;1;1;1;1;0
Prov Flandre occidentale;210;190;20;58;74;29;13;7;2;4;3;0;0;2;9;2;1;3;0;1;0;1;1
Prov Flandre orientale;227;205;22;42;89;22;20;12;11;4;2;3;0;3;8;4;3;2;1;0;1;0;0
Prov Anvers;221;210;11;41;74;31;18;17;9;7;8;5;0;1;3;1;1;1;1;1;0;2;0
Prov Limbourg;74;72;2;13;24;12;5;6;5;1;1;3;2;0;0;0;0;0;0;2;0;0;0
Prov Brabant wallon;33;16;17;2;1;1;1;3;4;3;0;1;0;1;5;2;0;1;1;1;4;1;1
Prov Hainaut;38;28;10;3;4;2;1;4;3;1;6;2;2;1;1;0;1;1;1;1;1;0;3
Prov Liège;18;12;6;2;2;2;0;2;3;1;0;0;0;0;2;1;0;2;0;0;0;0;1
Prov Namur;25;14;11;0;1;1;0;1;2;2;6;1;0;1;2;1;0;1;1;2;3;0;0
Prov Luxembourg;5;3;2;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Prov Région de Bruxelles-capitale;52;32;20;6;10;6;3;1;2;3;0;0;1;4;4;3;2;3;2;1;0;0;1
