gebied;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_55-59
België;1892;1269;623;181;973;81;17;9;6;1;1;82;467;49;11;7;5;2
Vlaams Gewest;840;553;287;89;415;29;7;7;5;1;0;35;226;18;4;2;1;1
Waals Gewest;778;524;254;81;405;31;6;0;0;0;1;43;181;20;6;1;2;1
Brussels Hoofdstedelijk Gewest;274;192;82;11;153;21;4;2;1;0;0;4;60;11;1;4;2;0
Vlaams Brabant;183;116;67;16;87;7;2;1;3;0;0;5;54;6;1;0;1;0
West-Vlaanderen;135;81;54;14;64;0;2;0;1;0;0;6;42;4;1;0;0;1
Oost-Vlaanderen;214;148;66;31;106;11;0;0;0;0;0;6;52;4;2;2;0;0
Antwerpen;202;148;54;21;109;8;3;6;0;1;0;14;36;4;0;0;0;0
Limburg;106;60;46;7;49;3;0;0;1;0;0;4;42;0;0;0;0;0
Waals Brabant;103;77;26;11;61;5;0;0;0;0;0;4;20;1;0;0;1;0
Henegouwen;255;176;79;32;131;11;2;0;0;0;0;20;53;3;2;1;0;0
Luik;253;163;90;21;126;12;3;0;0;0;1;10;66;10;3;0;1;0
Namen;110;72;38;11;60;0;1;0;0;0;0;6;27;5;0;0;0;0
Luxemburg;57;36;21;6;27;3;0;0;0;0;0;3;15;1;1;0;0;1
Brussels Hoofdstedelijk Gewest;274;192;82;11;153;21;4;2;1;0;0;4;60;11;1;4;2;0
