Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;13233;12745;488;1357;2474;1761;1749;1271;1076;1168;1016;547;326;12;21;20;35;28;37;72;89;84;90
Région Flandre;7570;7282;288;896;1534;1028;1039;743;573;594;510;237;128;6;7;9;22;17;14;40;56;57;60
Région Wallonie;4761;4592;169;362;721;601;620;460;454;506;448;263;157;2;5;8;11;10;23;27;31;25;27
Région Région de Bruxelles-capitale;902;871;31;99;219;132;90;68;49;68;58;47;41;4;9;3;2;1;0;5;2;2;3
Prov Brabant flamand;1268;1233;35;129;265;180;172;138;81;94;99;44;31;2;2;2;0;3;2;4;12;2;6
Prov Flandre occidentale;1660;1577;83;216;333;217;231;164;123;135;96;44;18;0;0;1;4;5;2;15;18;17;21
Prov Flandre orientale;2099;2026;73;251;422;293;299;204;152;145;145;75;40;3;1;3;11;4;6;12;7;18;8
Prov Anvers;1777;1708;69;218;367;240;226;162;144;146;116;56;33;1;2;2;5;3;4;8;13;15;16
Prov Limbourg;766;738;28;82;147;98;111;75;73;74;54;18;6;0;2;1;2;2;0;1;6;5;9
Prov Brabant wallon;667;648;19;35;92;86;87;84;53;66;61;47;37;0;0;1;2;3;5;2;1;3;2
Prov Hainaut;1302;1240;62;110;193;146;169;137;128;135;126;60;36;1;2;4;2;0;9;11;16;7;10
Prov Liège;1689;1633;56;125;260;211;213;145;187;172;176;98;46;1;2;1;3;5;6;11;9;10;8
Prov Namur;694;669;25;58;120;97;88;53;48;85;55;41;24;0;0;1;3;1;3;2;4;5;6
Prov Luxembourg;409;402;7;34;56;61;63;41;38;48;30;17;14;0;1;1;1;1;0;1;1;0;1
Prov Région de Bruxelles-capitale;902;871;31;99;219;132;90;68;49;68;58;47;41;4;9;3;2;1;0;5;2;2;3
