territoire;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;112996;103799;9197;13026;12871;12435;12109;10902;10158;10262;9754;6832;5450;1663;1598;1321;1025;950;748;745;504;330;313
Région flamande;68475;63342;5133;9527;8147;7402;6938;6064;5924;6138;6129;4102;2971;1242;955;681;484;424;342;369;291;193;152
Région wallonne;38168;34894;3274;3002;4015;4353;4518;4172;3672;3517;3134;2402;2109;357;546;531;440;423;307;282;154;106;128
Région de Bruxelles Capitale;6353;5563;790;497;709;680;653;666;562;607;491;328;370;64;97;109;101;103;99;94;59;31;33
Brabant flamand;9989;9190;799;1179;991;977;943;929;959;1025;974;681;532;181;96;101;78;80;63;65;49;50;36
Flandre occidentale;13838;12903;935;2244;1853;1557;1291;1139;1155;1077;1176;806;605;293;212;128;73;62;52;51;35;21;8
Flandre orientale;16715;15524;1191;2246;1907;1816;1755;1483;1456;1498;1588;1021;754;281;205;167;116;105;84;91;73;43;26
Anvers;18383;16983;1400;2494;2182;2021;1991;1638;1538;1626;1566;1133;794;292;272;185;150;105;99;100;91;54;52
Limbourg;9550;8742;808;1364;1214;1031;958;875;816;912;825;461;286;195;170;100;67;72;44;62;43;25;30
Brabant Wallon;2349;2136;213;167;213;214;222;263;246;236;210;183;182;23;36;31;25;21;23;24;15;5;10
Hainaut;16147;14752;1395;1257;1672;1816;1939;1802;1553;1489;1295;1023;906;136;236;224;189;204;135;125;60;40;46
Liège;12117;11043;1074;869;1323;1488;1498;1330;1189;1097;991;672;586;114;174;180;147;129;100;93;46;40;51
Namur;5131;4703;428;472;570;552;574;520;479;448;433;356;299;59;65;69;59;49;38;33;25;16;15
Luxembourg;2424;2260;164;237;237;283;285;257;205;247;205;168;136;25;35;27;20;20;11;7;8;5;6
Région de Bruxelles Capitale;6353;5563;790;497;709;680;653;666;562;607;491;328;370;64;97;109;101;103;99;94;59;31;33
