gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;375;315;60;88;81;50;35;24;14;16;4;3;0;8;7;7;8;8;7;7;3;4;1
Gewest Vlaanderen;301;274;27;84;73;46;29;17;10;9;4;2;0;3;6;4;2;2;4;3;2;1;0
Gewest Wallonië;54;27;27;3;4;3;4;5;2;5;0;1;0;4;1;2;3;5;3;4;1;3;1
Gewest Brussels hoofdstedelijk gewest;20;14;6;1;4;1;2;2;2;2;0;0;0;1;0;1;3;1;0;0;0;0;0
Prov Vlaams Brabant;50;43;7;9;13;9;4;3;4;1;0;0;0;0;1;1;1;0;2;1;0;1;0
Prov West-Vlaanderen;77;70;7;29;18;12;6;1;2;2;0;0;0;2;1;1;1;0;1;0;1;0;0
Prov Oost-Vlaanderen;74;67;7;22;23;9;6;3;2;2;0;0;0;0;3;2;0;0;0;1;1;0;0
Prov Antwerpen;67;63;4;18;11;12;10;4;1;4;3;0;0;1;1;0;0;2;0;0;0;0;0
Prov Limburg;33;31;2;6;8;4;3;6;1;0;1;2;0;0;0;0;0;0;1;1;0;0;0
Prov Waals Brabant;16;6;10;1;0;1;1;0;1;1;0;1;0;1;0;0;0;2;0;4;1;1;1
Prov Henegouwen;19;12;7;1;3;1;2;3;0;2;0;0;0;2;0;0;1;1;1;0;0;2;0
Prov Luik;9;5;4;0;1;0;1;2;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0
Prov Namen;9;4;5;1;0;1;0;0;0;2;0;0;0;0;1;0;1;1;2;0;0;0;0
Prov Luxemburg;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;20;14;6;1;4;1;2;2;2;2;0;0;0;1;0;1;3;1;0;0;0;0;0
